reset,address,consumption,gym,timestamp,multiStepPredictions.actual,multiStepPredictions.1,multiStepPredictions.5,multiStepBucketLikelihoods.1,multiStepBucketLikelihoods.5,multiStepBestPredictions.actual,multiStepBestPredictions.1,multiStepBestPredictions.5,anomalyScore,anomalyLabel,multiStepBestPredictions:multiStep:errorMetric='aae':steps=1:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=5:window=1000:field=consumption,multiStepBestPredictions:multiStep:errorMetric='aae':steps=5:window=1000:field=consumption,prediction:trivial:errorMetric='aae':steps=1:window=1000:field=consumption
0,Shop 67 197-215 Condamine Street Balgowlah 2093,46.1,Balgowlah Platinum,2010-07-02 08:00:00,46.1,{9.835579999999997: 0.50251589338460512	 30.7: 0.49748410661539494},{15.241999999999997: 1.0},{48: 0.49748410661539494	 10: 0.50251589338460512},{48: 1.0},46.1,9.83558,15.242,0.5,[],20.9894825,28.875,21.2745,7.7875
0,Shop 67 197-215 Condamine Street Balgowlah 2093,41.5,Balgowlah Platinum,2010-07-02 09:00:00,41.5,{9.835579999999997: 0.057361269221785818	 45.400000000000006: 0.017242084674766643	 30.7: 0.92539664610344763},{12.079399999999998: 1.0},{48: 0.92539664610344763	 10: 0.057361269221785818	 75: 0.017242084674766643},{34: 1.0},41.5,30.7,12.0794,0.5,[],19.8573177778,30.48,22.90372,7.43333333333
0,Shop 67 197-215 Condamine Street Balgowlah 2093,43.4,Balgowlah Platinum,2010-07-02 10:00:00,43.4,{9.835579999999997: 0.17672980860329751	 46.1: 0.0098388600120592404	 45.400000000000006: 0.0098378761260580344	 30.7: 0.80359345525858517},{9.835579999999997: 1.0},{48: 0.80359345525858517	 10: 0.17672980860329751	 75: 0.0098378761260580344	 76: 0.0098388600120592404},{22: 1.0},43.4,30.7,9.83558,0.5,[],19.141586,28.7166666667,24.6805033333,6.88
0,Shop 67 197-215 Condamine Street Balgowlah 2093,43.8,Balgowlah Platinum,2010-07-02 11:00:00,43.8,{41.5: 0.3568530833164672	 9.835579999999997: 0.25912814840223813	 46.1: 0.0060201028820777358	 45.400000000000006: 0.0052668171193863194	 30.7: 0.37273184827983058},{23.5: 1.0},{48: 0.37273184827983058	 68: 0.3568530833164672	 10: 0.25912814840223813	 75: 0.0052668171193863194	 76: 0.0060201028820777358},{35: 1.0},43.8,30.7,23.5,0.5,[],18.5923509091,25.1428571429,24.0547171429,6.29090909091
0,Shop 67 197-215 Condamine Street Balgowlah 2093,37.8,Balgowlah Platinum,2010-07-02 12:00:00,37.8,{41.5: 0.22405548522075236	 30.7: 0.34013154752314201	 45.400000000000006: 0.0045451849637935362	 43.4: 0.19077147014923762	 9.835579999999997: 0.23559816495196706	 46.1: 0.0048981471911073837},{30.7: 1.0},{68: 0.22405548522075236	 71: 0.19077147014923762	 10: 0.23559816495196706	 75: 0.0045451849637935362	 76: 0.0048981471911073837	 48: 0.34013154752314201},{48: 1.0},37.8,30.7,30.7,0.5,[],17.634655,22.95,21.9353775,6.26666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,36.6,Balgowlah Platinum,2010-07-02 13:00:00,36.6,{41.5: 0.052268986937139904	 30.7: 0.27409008641034899	 45.400000000000006: 0.002774224771422678	 43.4: 0.068254599293621723	 9.835579999999997: 0.50192746921110365	 46.1: 0.0031238660060156245	 43.8: 0.097560767370347565},{45.400000000000006: 0.50002500125006233	 30.7: 0.49997499874993767},{68: 0.052268986937139904	 71: 0.068254599293621723	 72: 0.097560767370347565	 10: 0.50192746921110365	 75: 0.002774224771422678	 76: 0.0031238660060156245	 48: 0.27409008641034899},{48: 0.49997499874993767	 75: 0.50002500125006233},36.6,9.83558,45.4,0.5,[],18.3369446154,21.4555555556,20.4758911111,5.87692307692
0,Shop 67 197-215 Condamine Street Balgowlah 2093,35.7,Balgowlah Platinum,2010-07-02 14:00:00,35.7,{41.5: 0.011603426904990097	 30.7: 0.15880239362976228	 43.4: 0.04460576570044824	 9.835579999999997: 0.48091570530224009	 46.1: 0.00138823918501243	 43.8: 0.10080305677104247	 37.8: 0.20188141250650454},{30.7: 0.33594523696208139	 46.1: 0.33204398371814503	 45.400000000000006: 0.33201077931977352},{68: 0.011603426904990097	 71: 0.04460576570044824	 72: 0.10080305677104247	 10: 0.48091570530224009	 76: 0.00138823918501243	 48: 0.15880239362976228	 61: 0.20188141250650454},{48: 0.33594523696208139	 75: 0.33201077931977352	 76: 0.33204398371814503},35.7,9.83558,30.7,0.5,[],18.8746214286,19.89,18.928302,5.52142857143
0,Shop 67 197-215 Condamine Street Balgowlah 2093,38.9,Balgowlah Platinum,2010-07-02 15:00:00,38.9,{41.5: 0.0063148816042873481	 30.7: 0.14635814040310693	 45.400000000000006: 0.00092246806192581297	 43.4: 0.027061765345995723	 9.835579999999997: 0.31608698189444645	 36.6: 0.40331439706975392	 43.8: 0.028274019396377099	 37.8: 0.071233207534021681},{41.5: 0.19744916378722149	 30.7: 0.27114561214237037	 46.1: 0.26571589783009569	 45.400000000000006: 0.26568932624031255},{68: 0.0063148816042873481	 71: 0.027061765345995723	 72: 0.028274019396377099	 10: 0.31608698189444645	 75: 0.00092246806192581297	 48: 0.14635814040310693	 59: 0.40331439706975392	 61: 0.071233207534021681},{48: 0.27114561214237037	 68: 0.19744916378722149	 75: 0.26568932624031255	 76: 0.26571589783009569},38.9,36.6,30.7,0.5,[],17.7696466667,18.4909090909,17.9530018182,5.36666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,36.2,Balgowlah Platinum,2010-07-02 16:00:00,36.2,{41.5: 0.0096106453449230599	 35.699999999999996: 0.29137183833195002	 43.4: 0.037552881866912337	 30.7: 0.067596791653524751	 9.835579999999997: 0.17579637863234485	 36.6: 0.29947636653930182	 43.8: 0.039967653821947891	 37.8: 0.078627443809095379},{41.5: 0.10896697878217977	 45.400000000000006: 0.072669449423934024	 43.4: 0.63515837978822465	 46.1: 0.10895608208430137	 30.7: 0.074249109921360079},{68: 0.0096106453449230599	 71: 0.037552881866912337	 72: 0.039967653821947891	 10: 0.17579637863234485	 48: 0.067596791653524751	 57: 0.29137183833195002	 59: 0.29947636653930182	 61: 0.078627443809095379},{48: 0.074249109921360079	 68: 0.10896697878217977	 75: 0.072669449423934024	 76: 0.10895608208430137	 71: 0.63515837978822465},36.2,36.6,43.4,0.5,[],16.68404375,17.5833333333,17.0569183333,5.2
0,Shop 67 197-215 Condamine Street Balgowlah 2093,36.6,Balgowlah Platinum,2010-07-02 17:00:00,36.6,{43.4: 0.023580984821746309	 35.699999999999996: 0.16864779514605063	 30.7: 0.060240119030843788	 38.9: 0.33225828026217241	 9.835579999999997: 0.16823741468597048	 36.6: 0.17302263038362281	 37.8: 0.042951718348186618	 43.8: 0.025120131961843532},{41.5: 0.17384903800384616	 30.7: 0.20630751201545544	 43.4: 0.20996161405575367	 45.400000000000006: 0.20181253924230308	 46.1: 0.20183272251455311	 43.8: 0.006236574168088589},{71: 0.023580984821746309	 72: 0.025120131961843532	 10: 0.16823741468597048	 48: 0.060240119030843788	 57: 0.16864779514605063	 59: 0.17302263038362281	 61: 0.042951718348186618	 63: 0.33225828026217241},{68: 0.17384903800384616	 71: 0.20996161405575367	 72: 0.006236574168088589	 75: 0.20181253924230308	 76: 0.20183272251455311	 48: 0.20630751201545544},36.6,38.9,43.4,0.5,[],15.8379235294,16.3230769231,16.2679246154,4.91764705882
0,Shop 67 197-215 Condamine Street Balgowlah 2093,37.2,Balgowlah Platinum,2010-07-02 18:00:00,37.2,{36.2: 0.26268428811399053	 35.699999999999996: 0.13854614045558974	 38.9: 0.26164135301292707	 30.7: 0.050514024699195345	 9.835579999999997: 0.070519310433358573	 36.6: 0.14382606079920049	 37.8: 0.048004356296945661	 43.8: 0.0095796555444281044},{41.5: 0.18004608703418046	 30.7: 0.25058492862193227	 45.400000000000006: 0.2457451466871744	 43.4: 0.07578285778885209	 46.1: 0.24576972365954039	 37.8: 0.0020712562083203419},{72: 0.0095796555444281044	 10: 0.070519310433358573	 48: 0.050514024699195345	 57: 0.13854614045558974	 58: 0.26268428811399053	 59: 0.14382606079920049	 61: 0.048004356296945661	 63: 0.26164135301292707},{68: 0.18004608703418046	 71: 0.07578285778885209	 75: 0.2457451466871744	 76: 0.24576972365954039	 48: 0.25058492862193227	 61: 0.0020712562083203419},37.2,36.2,30.7,0.5,[],15.0135944444,15.2,15.5702157143,4.67777777778
0,Shop 67 197-215 Condamine Street Balgowlah 2093,38.2,Balgowlah Platinum,2010-07-02 19:00:00,38.2,{43.4: 0.011869024649610213	 36.2: 0.17731371159747852	 35.699999999999996: 0.11261899669186748	 30.7: 0.066954822212641221	 38.9: 0.17817311830463484	 9.835579999999997: 0.090827096871696378	 36.6: 0.29588005991280814	 37.8: 0.044115540359856542},{41.5: 0.1603384635130623	 46.1: 0.22647495615848687	 30.7: 0.23091524492392171	 45.400000000000006: 0.22645230866287122	 43.4: 0.12627591870101876	 36.6: 0.027087014200235623	 43.8: 0.0016745703618858947	 37.8: 0.00078152347851767525},{71: 0.011869024649610213	 10: 0.090827096871696378	 48: 0.066954822212641221	 57: 0.11261899669186748	 58: 0.17731371159747852	 59: 0.29588005991280814	 61: 0.044115540359856542	 63: 0.17817311830463484},{68: 0.1603384635130623	 71: 0.12627591870101876	 72: 0.0016745703618858947	 75: 0.22645230866287122	 76: 0.22647495615848687	 48: 0.23091524492392171	 59: 0.027087014200235623	 61: 0.00078152347851767525},38.2,36.6,30.7,0.5,[],14.3076157895,14.3533333333,15.0322013333,4.48421052632
0,Shop 67 197-215 Condamine Street Balgowlah 2093,14.1,Balgowlah Platinum,2010-07-02 20:00:00,14.1,{35.699999999999996: 0.10291505105417208	 37.2: 0.10810852989456422	 30.7: 0.0936533274508701	 38.9: 0.12720890883091215	 36.2: 0.10808690926967056	 9.835579999999997: 0.14098065074902921	 36.6: 0.2304875992590939	 37.8: 0.075063432373866409},{41.5: 0.082098134421571795	 46.1: 0.20073795979161801	 30.7: 0.20368199325182457	 35.699999999999996: 0.16101398387686588	 45.400000000000006: 0.20071788599563892	 43.4: 0.10945953718644147	 36.6: 0.042290505476039242},{10: 0.14098065074902921	 48: 0.0936533274508701	 57: 0.10291505105417208	 58: 0.10808690926967056	 59: 0.2304875992590939	 60: 0.10810852989456422	 61: 0.075063432373866409	 63: 0.12720890883091215},{68: 0.082098134421571795	 71: 0.10945953718644147	 75: 0.20071788599563892	 76: 0.20073795979161801	 48: 0.20368199325182457	 57: 0.16101398387686588	 59: 0.042290505476039242},14.1,36.6,30.7,0.5,[],14.717235,15.00625,15.13018875,5.465
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.1,Balgowlah Platinum,2010-07-02 21:00:00,5.1,{38.2: 0.11269240381170233	 36.2: 0.038840974402800189	 30.7: 0.21474486021517211	 38.9: 0.039757749761035549	 37.2: 0.039434765587908108	 9.835579999999997: 0.33999402547051888	 36.6: 0.087687904944919862	 37.8: 0.051127895881760074},{41.5: 0.13386047410798665	 46.1: 0.19880021905845999	 43.4: 0.066500772078080736	 35.699999999999996: 0.086252405490626058	 38.9: 0.092046786482106041	 30.7: 0.20250084080473585	 36.6: 0.021258162941450401	 45.400000000000006: 0.19878033903655437},{10: 0.33999402547051888	 48: 0.21474486021517211	 58: 0.038840974402800189	 59: 0.087687904944919862	 60: 0.039434765587908108	 61: 0.051127895881760074	 62: 0.11269240381170233	 63: 0.039757749761035549},{68: 0.13386047410798665	 71: 0.066500772078080736	 75: 0.19878033903655437	 76: 0.19880021905845999	 48: 0.20250084080473585	 57: 0.086252405490626058	 59: 0.021258162941450401	 63: 0.092046786482106041},5.1,9.83558,30.7,0.5,[],14.2419180952,15.9529411765,15.74606,5.63333333333
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.0,Balgowlah Platinum,2010-07-02 22:00:00,5.0,{38.9: 0.018878611973672878	 35.699999999999996: 0.013745661255536376	 38.2: 0.027986425544059904	 30.7: 0.25302465802629165	 14.1: 0.1677563559576645	 9.835579999999997: 0.41448771023699399	 36.6: 0.037426348679138507	 37.8: 0.023719607772299808},{41.5: 0.077597192780299834	 38.9: 0.034707386999589224	 35.699999999999996: 0.027207698211159929	 36.2: 0.50186553069672302	 30.7: 0.080513915920933363	 43.4: 0.092793367506409596	 46.1: 0.080530021119857145	 45.400000000000006: 0.080521968117745132},{10: 0.41448771023699399	 48: 0.25302465802629165	 17: 0.1677563559576645	 57: 0.013745661255536376	 59: 0.037426348679138507	 61: 0.023719607772299808	 62: 0.027986425544059904	 63: 0.018878611973672878},{68: 0.077597192780299834	 71: 0.092793367506409596	 75: 0.080521968117745132	 76: 0.080530021119857145	 48: 0.080513915920933363	 57: 0.027207698211159929	 58: 0.50186553069672302	 63: 0.034707386999589224},5.0,9.83558,36.2,0.5,[],13.8143572727,16.8222222222,16.6046122222,5.38181818182
0,Shop 67 197-215 Condamine Street Balgowlah 2093,5.9,Balgowlah Platinum,2010-07-02 23:00:00,5.9,{38.9: 0.014999107996960392	 38.2: 0.022561924362386736	 30.7: 0.11674107952183667	 14.1: 0.16139546476186939	 9.835579999999997: 0.21976776591578273	 36.6: 0.030374402558201563	 5.1000000000000005: 0.36693024795299412	 37.8: 0.018969253926095178},{41.5: 0.037234143546915816	 46.1: 0.038502281805965065	 30.7: 0.038494581734626665	 35.699999999999996: 0.015277632936470695	 36.2: 0.13645732484687534	 43.4: 0.046576221963959344	 45.400000000000006: 0.038498431577784438	 36.6: 0.63463502016921103},{1: 0.36693024795299412	 10: 0.21976776591578273	 48: 0.11674107952183667	 17: 0.16139546476186939	 59: 0.030374402558201563	 61: 0.018969253926095178	 62: 0.022561924362386736	 63: 0.014999107996960392},{68: 0.037234143546915816	 71: 0.046576221963959344	 75: 0.038498431577784438	 76: 0.038502281805965065	 48: 0.038494581734626665	 57: 0.015277632936470695	 58: 0.13645732484687534	 59: 0.63463502016921103},5.9,5.1,36.6,0.5,[],13.2485156522,17.5842105263,17.3464747368,5.18695652174
0,Shop 67 197-215 Condamine Street Balgowlah 2093,22.5,Balgowlah Platinum,2010-07-03 00:00:00,22.5,{38.9: 0.0096465373476607545	 38.2: 0.013532645791493179	 5.07: 0.40112094019406758	 30.7: 0.16450601146448093	 14.1: 0.067057176352546474	 9.835579999999997: 0.27611526681056497	 36.6: 0.019183238765761449	 37.8: 0.014507278806663828},{41.5: 0.10120164972341937	 46.1: 0.10119152955844697	 37.2: 0.27815952037600844	 36.2: 0.12149825538929274	 43.4: 0.016258932303413666	 30.7: 0.043692887821156337	 36.6: 0.28465405331712201	 45.400000000000006: 0.042916929724883701},{1: 0.40112094019406758	 10: 0.27611526681056497	 48: 0.16450601146448093	 17: 0.067057176352546474	 59: 0.019183238765761449	 61: 0.014507278806663828	 62: 0.013532645791493179	 63: 0.0096465373476607545},{68: 0.10120164972341937	 71: 0.016258932303413666	 75: 0.042916929724883701	 76: 0.10119152955844697	 48: 0.043692887821156337	 58: 0.12149825538929274	 59: 0.28465405331712201	 60: 0.27815952037600844},22.5,5.07,36.6,0.5,[],13.4227441667,17.49,17.184151,5.6625
0,Shop 67 197-215 Condamine Street Balgowlah 2093,22.3,Balgowlah Platinum,2010-07-03 01:00:00,22.3,{5.9: 0.18075569966810748	 38.2: 0.024705482625507317	 5.07: 0.54537108599282635	 14.1: 0.24091644739768714	 30.7: 0.0019663139070286175	 9.835579999999997: 0.0047400748392634447	 36.6: 0.00038624320262372702	 35.699999999999996: 0.00038628183080680772},{41.5: 0.14231929068523685	 46.1: 0.14230505875616831	 36.2: 0.065730780224628721	 38.2: 0.13559067016473975	 43.4: 0.094883986256206268	 30.7: 0.11765500237437818	 36.6: 0.095968935436817768	 45.400000000000006: 0.11529741061851802},{1: 0.54537108599282635	 2: 0.18075569966810748	 10: 0.0047400748392634447	 48: 0.0019663139070286175	 17: 0.24091644739768714	 57: 0.00038628183080680772	 59: 0.00038624320262372702	 62: 0.024705482625507317},{68: 0.14231929068523685	 71: 0.094883986256206268	 75: 0.11529741061851802	 76: 0.14230505875616831	 48: 0.11765500237437818	 58: 0.065730780224628721	 59: 0.095968935436817768	 62: 0.13559067016473975},22.3,5.07,41.5,0.5,[],13.5750344,17.0476190476,17.2801438095,5.444
0,Shop 67 197-215 Condamine Street Balgowlah 2093,6.0,Balgowlah Platinum,2010-07-03 02:00:00,6.0,{22.5: 0.12729631216489234	 38.2: 0.015553977425660221	 5.9: 0.12822057609937479	 5.07: 0.37715073272924965	 14.1: 0.1696887876010344	 30.7: 0.055192112176757263	 9.835579999999997: 0.12338555497430569	 36.6: 0.00054258679434706508},{41.5: 0.17610396332929973	 46.1: 0.17608635293296637	 36.2: 0.034985377012543332	 38.2: 0.040667210073514717	 30.7: 0.16680476957184348	 43.4: 0.13333575972278555	 36.6: 0.035492266804663115	 45.400000000000006: 0.16325335972489713},{33: 0.12729631216489234	 2: 0.12822057609937479	 1: 0.37715073272924965	 10: 0.12338555497430569	 48: 0.055192112176757263	 17: 0.1696887876010344	 59: 0.00054258679434706508	 62: 0.015553977425660221},{68: 0.17610396332929973	 71: 0.13333575972278555	 75: 0.16325335972489713	 76: 0.17608635293296637	 48: 0.16680476957184348	 58: 0.034985377012543332	 59: 0.035492266804663115	 62: 0.040667210073514717},6.0,5.07,41.5,0.5,[],13.0886869231,16.3136363636,18.1083190909,5.86153846154
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.7,Balgowlah Platinum,2010-07-03 03:00:00,4.7,{5.9: 0.077373845156900309	 5.07: 0.14806518958604195	 30.7: 0.056213193544478887	 14.1: 0.042418418825145722	 9.835579999999997: 0.10540788039445852	 36.6: 0.0083594686984293908	 37.8: 0.0062749572280258754	 22.439999999999998: 0.5405808912922373},{41.5: 0.16976353816153311	 46.1: 0.16974656180771616	 38.2: 0.04845094039670364	 36.2: 0.051727203143527745	 30.7: 0.14869102083884664	 43.4: 0.080974114954644377	 36.6: 0.050900720839529436	 45.400000000000006: 0.14544166012522361},{1: 0.14806518958604195	 2: 0.077373845156900309	 33: 0.5405808912922373	 10: 0.10540788039445852	 48: 0.056213193544478887	 17: 0.042418418825145722	 59: 0.0083594686984293908	 61: 0.0062749572280258754},{68: 0.16976353816153311	 71: 0.080974114954644377	 75: 0.14544166012522361	 76: 0.16974656180771616	 48: 0.14869102083884664	 58: 0.051727203143527745	 59: 0.050900720839529436	 62: 0.04845094039670364},4.7,22.44,41.5,0.5,[],13.2609577778,15.6173913043,18.9210008696,5.69259259259
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.4,Balgowlah Platinum,2010-07-03 04:00:00,4.4,{6.0: 0.26072503777088712	 5.9: 0.068287245893712614	 5.07: 0.13707288222294717	 14.1: 0.039128624158432608	 30.7: 0.049715736447117832	 9.835579999999997: 0.087501164862044331	 36.6: 0.0083466988278740363	 22.439999999999998: 0.32820566668078821},{41.5: 0.1795278890552881	 46.1: 0.17950993626638234	 30.7: 0.17031785639775351	 36.2: 0.032719180865264867	 45.400000000000006: 0.16667660069997955	 43.4: 0.13269858850685928	 5.07: 0.035050438790353515	 36.6: 0.027695669353311053},{1: 0.13707288222294717	 2: 0.068287245893712614	 3: 0.26072503777088712	 33: 0.32820566668078821	 10: 0.087501164862044331	 48: 0.049715736447117832	 17: 0.039128624158432608	 59: 0.0083466988278740363},{1: 0.035050438790353515	 68: 0.1795278890552881	 71: 0.13269858850685928	 75: 0.16667660069997955	 76: 0.17950993626638234	 48: 0.17031785639775351	 58: 0.032719180865264867	 59: 0.027695669353311053},4.4,22.44,41.5,0.5,[],13.4316378571,15.0291666667,19.6784591667,5.5
0,Shop 67 197-215 Condamine Street Balgowlah 2093,4.8,Balgowlah Platinum,2010-07-03 05:00:00,4.8,{6.0: 0.16771565628920193	 5.9: 0.058054436561049777	 14.1: 0.030780184868228623	 30.7: 0.045684476109234928	 8.294905999999997: 0.33616426180688652	 5.07: 0.11119646656424681	 36.6: 0.0072208048908190305	 22.439999999999998: 0.22513470624797272},{41.5: 0.017461578430635602	 46.1: 0.01745983227279254	 5.9: 0.91428571428571448	 37.2: 0.0031765788868946964	 45.400000000000006: 0.017458086289565258	 30.7: 0.017456340480936302	 36.2: 0.0031759436028831059	 36.6: 0.003176261229006007},{1: 0.11119646656424681	 3: 0.058054436561049777	 33: 0.22513470624797272	 7: 0.33616426180688652	 48: 0.045684476109234928	 18: 0.030780184868228623	 59: 0.0072208048908190305},{2: 0.91428571428571448	 68: 0.017461578430635602	 75: 0.017458086289565258	 76: 0.01745983227279254	 48: 0.017456340480936302	 58: 0.0031759436028831059	 59: 0.003176261229006007	 60: 0.0031765788868946964},4.8,8.294906,5.9,0.5,[],13.088991931,15.136,18.9353208,5.32413793103
0,Shop 67 197-215 Condamine Street Balgowlah 2093,23.4,Balgowlah Platinum,2010-07-03 06:00:00,23.4,{6.0: 0.1473529062984654	 5.9: 0.050383175664028258	 14.1: 0.021325596290817508	 30.7: 0.033205407855769163	 5.07: 0.11325510358695176	 36.6: 0.0065636263405401372	 22.439999999999998: 0.19489174302093573	 7.1264341999999985: 0.41704724955015704},{22.5: 0.50000357160715203	 41.5: 0.098033851705473019	 46.1: 0.098024048320302398	 5.9: 0.072169978005424282	 43.4: 0.027043675708043408	 30.7: 0.10034764204529167	 36.6: 0.0011342646019104907	 45.400000000000006: 0.098014245915470269},{1: 0.11325510358695176	 3: 0.050383175664028258	 5: 0.41704724955015704	 33: 0.19489174302093573	 48: 0.033205407855769163	 18: 0.021325596290817508	 59: 0.0065636263405401372},{33: 0.50000357160715203	 2: 0.072169978005424282	 68: 0.098033851705473019	 71: 0.027043675708043408	 75: 0.098014245915470269	 76: 0.098024048320302398	 48: 0.10034764204529167	 59: 0.0011342646019104907},23.4,7.1264342,22.5,0.5,[],13.1951443933,14.5961538462,18.2416546154,5.76666666667
0,Shop 67 197-215 Condamine Street Balgowlah 2093,42.4,Balgowlah Platinum,2010-07-03 07:00:00,42.4,{30.7: 0.0098133135994486094	 5.9: 0.02756082052217999	 38.2: 0.0024027045698848319	 4.989: 0.1637323814061549	 14.1: 0.011526063559645749	 6.0: 0.26444212178813109	 22.439999999999998: 0.28694895773257045	 7.1264341999999985: 0.23055849600335779},{41.5: 0.089961981428477361	 43.4: 0.044219754791020666	 5.9: 0.016208076708349145	 36.2: 0.016391427296338822	 30.7: 0.082790071932284479	 45.400000000000006: 0.080861625043483334	 46.1: 0.089952985230334501	 22.439999999999998: 0.53864828220915462},{1: 0.1637323814061549	 3: 0.02756082052217999	 5: 0.23055849600335779	 33: 0.28694895773257045	 48: 0.0098133135994486094	 18: 0.011526063559645749	 62: 0.0024027045698848319},{33: 0.53864828220915462	 2: 0.016208076708349145	 68: 0.089961981428477361	 71: 0.044219754791020666	 75: 0.080861625043483334	 76: 0.089952985230334501	 48: 0.082790071932284479	 58: 0.016391427296338822},42.4,22.44,22.44,0.5,[],13.4133655419,15.4037037037,18.305297037,6.1935483871
0,Shop 67 197-215 Condamine Street Balgowlah 2093,52.0,Balgowlah Platinum,2010-07-03 08:00:00,52.0,{14.1: 0.029203364803812547	 5.9: 0.02890233128562009	 6.0: 0.17586340367603387	 4.989: 0.14577053044696112	 30.7: 0.029705201382786726	 23.4: 0.092183689842692429	 22.439999999999998: 0.20997045056759148	 7.1264341999999985: 0.23491488863122434},{41.5: 0.071204240376937997	 43.4: 0.041163997992545859	 36.2: 0.014662828662219293	 6.0: 0.240880331802235	 30.7: 0.064800399499708436	 45.400000000000006: 0.063262220305996472	 46.1: 0.07119711995289997	 22.439999999999998: 0.38141501018571367},{1: 0.14577053044696112	 3: 0.17586340367603387	 5: 0.23491488863122434	 33: 0.20997045056759148	 48: 0.029705201382786726	 18: 0.029203364803812547	 35: 0.092183689842692429},{33: 0.38141501018571367	 3: 0.240880331802235	 68: 0.071204240376937997	 71: 0.041163997992545859	 75: 0.063262220305996472	 76: 0.07119711995289997	 48: 0.064800399499708436	 58: 0.014662828662219293},52.0,7.1264342,22.44,0.5,[],14.3964968,16.5428571429,18.7072507143,6.3
