field1,field2
24,17
38,39
0,-3
98,97
35,36
93,97
51,51
27,28
39,34
100,97
70,67
99,104
47,49
26,22
14,14
52,55
29,29
35,38
31,30
45,43
6,10
59,58
100,101
63,58
57,62
62,61
57,59
73,73
48,49
31,32
84,88
4,5
25,25
32,35
13,9
48,49
6,9
13,10
81,79
3,2
56,63
100,98
66,67
76,67
65,66
25,26
12,12
55,58
68,64
71,72
20,21
96,94
11,6
72,75
18,19
29,36
3,5
80,76
14,15
77,78
20,21
20,19
84,86
21,22
45,45
14,13
21,18
72,68
55,54
13,15
46,45
66,68
36,35
17,16
94,98
12,12
72,74
76,73
9,10
18,20
39,43
61,60
5,8
20,20
26,23
66,67
9,11
52,51
21,27
32,31
74,75
32,34
46,46
66,68
57,51
51,44
42,38
9,12
62,62
18,15
97,99
98,93
84,88
28,30
74,74
86,84
94,95
86,83
24,22
42,39
55,57
37,38
8,4
23,20
54,55
71,69
27,27
72,74
83,85
74,72
67,71
44,44
49,51
57,54
21,19
3,5
73,77
80,80
65,64
26,26
22,22
47,49
47,49
16,17
67,67
19,17
61,59
29,26
34,31
52,50
95,93
90,90
97,101
63,63
31,31
49,51
11,9
77,77
69,72
2,2
42,41
58,57
55,60
42,39
84,85
80,82
92,92
67,63
9,9
33,35
39,40
5,5
44,41
55,55
7,9
2,5
6,8
30,32
68,66
54,49
33,32
76,75
61,61
40,40
45,43
13,9
59,64
4,8
29,28
7,7
26,27
38,36
88,92
67,72
88,87
15,16
15,14
3,2
22,18
73,73
64,61
45,45
83,84
78,71
8,8
13,15
42,43
2,4
16,13
6,6
81,83
88,91
43,44
82,82
2,0
95,98
61,56
10,9
93,97
49,49
36,35
39,41
49,55
71,67
16,15
37,37
2,5
41,40
40,39
99,102
50,52
77,78
51,51
1,2
27,25
83,80
47,49
56,57
31,35
60,58
63,59
46,48
52,52
75,77
15,13
99,102
38,34
79,79
16,17
89,87
83,88
49,42
8,8
46,46
88,93
99,102
65,66
12,14
78,76
53,56
95,95
21,20
9,4
54,53
62,60
90,90
68,68
70,70
84,81
35,32
98,99
96,91
88,91
57,53
96,98
48,46
5,4
84,84
81,79
68,72
53,48
26,26
43,43
94,94
92,91
58,59
71,68
80,84
48,51
81,79
10,13
80,79
48,44
69,67
47,46
19,20
49,49
56,55
60,61
39,39
95,94
81,83
59,58
46,43
11,13
23,23
98,98
46,45
57,59
66,66
10,10
46,54
59,58
3,-1
89,81
0,0
79,78
87,85
55,51
60,59
24,24
59,62
86,86
68,71
94,93
62,68
4,2
91,90
53,45
86,84
36,43
93,95
99,97
97,102
59,59
79,81
89,87
36,36
5,7
45,45
96,92
81,81
0,3
45,45
25,25
22,23
89,91
56,51
64,66
17,17
44,47
100,99
39,39
2,-3
50,50
33,33
73,73
75,74
62,62
63,63
5,6
44,41
31,32
53,55
71,68
39,40
61,60
94,94
95,99
4,1
18,16
7,11
61,60
51,46
98,95
12,14
55,57
67,67
71,69
99,104
75,75
20,17
30,30
10,10
68,68
95,95
3,2
57,60
5,4
62,58
22,23
98,96
49,47
22,22
88,91
2,8
47,46
35,37
22,23
82,85
85,89
51,53
40,42
18,18
17,17
35,33
4,0
93,92
54,53
23,25
29,27
86,83
68,68
89,87
7,4
79,82
59,59
68,67
17,18
1,1
92,92
64,63
9,8
20,18
63,66
73,73
0,0
38,42
71,72
100,101
83,77
99,101
66,67
100,104
84,88
88,90
17,18
57,56
89,88
14,14
15,15
41,41
70,73
56,63
99,99
28,24
100,98
14,12
43,43
91,89
31,31
66,66
54,58
6,12
34,35
32,32
38,40
56,59
63,57
11,9
25,28
74,70
21,21
27,26
2,2
83,80
100,99
44,42
39,35
42,42
8,7
72,70
63,63
62,62
0,-1
65,65
19,19
89,92
99,97
42,42
92,95
8,7
78,78
45,44
25,29
85,87
75,73
65,65
100,97
92,93
82,82
10,12
2,1
96,97
30,28
67,69
57,57
28,29
5,11
26,28
38,38
46,45
76,76
9,9
87,84
65,67
100,102
45,45
43,43
48,51
95,95
60,62
73,72
5,5
100,100
88,91
54,53
65,65
22,22
20,23
57,59
1,0
81,77
14,14
47,47
8,10
16,16
92,94
66,66
56,54
100,99
89,87
25,22
25,27
29,28
67,63
62,58
64,66
33,33
37,35
64,67
59,57
47,51
11,8
54,56
61,61
29,30
63,58
23,21
53,52
94,93
34,37
44,42
28,28
39,39
78,77
23,23
42,44
0,1
72,71
68,61
14,16
55,57
65,58
97,96
86,93
0,0
66,68
84,85
99,98
10,13
6,5
2,1
79,80
85,84
74,70
96,94
54,57
22,26
64,64
16,13
85,93
60,61
83,84
61,57
90,91
43,39
73,72
81,79
50,50
65,63
69,70
43,44
13,11
57,55
24,29
17,14
100,92
56,53
11,9
15,17
70,69
1,-3
35,38
86,85
18,14
60,57
60,64
77,74
90,88
39,38
47,47
9,12
54,56
11,10
24,24
58,61
76,75
49,51
4,11
2,-1
82,82
19,19
0,-4
20,20
89,86
74,73
78,80
81,81
20,18
14,14
72,70
48,49
61,63
70,69
58,59
21,19
64,66
55,55
29,30
3,3
58,58
20,20
53,54
94,91
58,58
100,97
14,13
58,58
52,55
69,69
25,25
53,54
58,53
13,17
6,8
59,59
58,58
74,73
46,45
78,82
27,23
46,44
31,29
76,76
92,93
20,21
75,74
52,52
49,51
60,63
30,30
2,5
66,62
15,15
25,25
82,81
75,75
30,27
81,84
10,14
20,19
62,59
67,75
6,6
61,62
76,75
82,82
7,12
59,64
39,39
62,63
26,29
73,75
99,99
40,44
16,15
82,81
95,95
11,12
22,21
68,68
36,34
14,15
52,51
49,46
43,45
59,57
10,10
74,70
60,63
86,87
66,66
75,75
68,66
87,82
54,53
16,9
43,43
89,87
82,81
80,82
27,27
56,58
48,48
78,80
13,14
23,20
6,2
46,46
63,63
41,38
23,25
55,54
54,54
41,41
23,24
0,1
37,36
69,67
64,65
87,85
77,74
52,50
27,28
34,36
52,56
37,39
86,86
88,84
92,96
64,61
57,59
63,63
80,80
32,35
52,51
93,89
33,36
64,65
49,49
26,24
24,27
70,68
79,83
67,65
83,83
96,96
9,7
25,24
37,32
54,54
14,13
20,21
49,51
60,59
79,76
43,41
27,24
17,17
89,90
44,48
63,61
1,2
53,53
31,28
27,27
1,-3
35,34
43,49
33,37
21,16
43,39
7,7
85,85
75,74
78,80
48,50
4,0
65,64
77,77
71,75
38,36
100,106
46,46
2,1
96,94
57,55
83,84
34,36
1,-2
27,26
45,38
54,57
96,91
84,87
6,4
40,37
62,63
4,5
6,6
73,72
27,27
100,103
63,63
73,73
95,94
77,76
24,24
31,31
93,98
37,39
87,87
47,47
7,11
34,30
89,85
55,59
10,11
33,36
26,24
9,7
83,77
48,50
53,57
78,79
21,21
28,31
41,41
89,89
74,75
97,91
55,53
24,25
13,11
3,0
32,29
12,11
31,32
93,100
8,8
62,59
13,13
100,100
40,37
51,51
46,47
44,45
79,77
94,94
74,75
97,100
67,67
51,52
47,45
14,16
53,53
74,76
68,70
52,52
8,11
80,79
18,15
85,81
8,8
45,44
25,25
3,5
25,25
56,58
7,4
27,23
95,99
91,89
95,95
54,55
52,47
54,52
2,4
66,66
99,102
99,99
68,67
53,52
67,72
80,77
59,55
0,3
99,99
25,21
31,34
7,8
73,75
28,28
0,1
18,18
0,3
18,15
85,84
7,5
82,85
24,26
16,9
74,74
44,42
98,103
70,69
1,2
97,101
36,40
21,21
24,22
85,90
93,93
82,82
0,4
77,83
40,41
21,21
78,77
34,29
67,67
41,40
87,87
94,93
87,88
79,80
70,70
87,85
86,86
9,6
0,-2
15,20
56,55
85,85
27,29
36,36
68,64
39,39
83,83
31,28
91,89
64,65
79,79
51,53
85,83
28,29
81,81
91,90
20,20
64,63
46,48
20,15
41,40
15,19
6,8
26,26
73,76
24,23
20,18
11,13
86,87
97,97
32,32
0,-4
84,85
15,13
6,6
31,30
0,-1
95,93
61,59
66,68
75,71
57,64
51,52
5,2
26,26
76,76
74,76
58,58
48,47
89,89
21,23
4,4
2,3
4,9
52,47
30,35
8,8
21,21
35,32
72,71
4,0
2,2
41,40
9,9
18,16
93,94
72,75
96,97
28,28
51,50
46,48
76,81
19,21
52,51
35,36
39,35
83,83
33,30
25,24
33,37
50,47
94,95
0,3
56,59
25,30
67,67
90,90
91,89
77,74
81,84
99,100
77,72
9,11
93,93
18,17
96,96
94,92
96,97
58,58
97,97
66,63
30,32
88,86
39,39
10,5
70,70
32,27
48,52
76,76
90,94
14,14
53,49
17,17
73,71
83,90
64,63
41,42
18,18
2,2
36,37
40,40
20,21
41,44
91,91
66,66
37,42
7,6
21,25
95,93
3,6
97,96
47,47
41,41
97,93
97,95
12,8
18,14
85,85
42,46
76,76
33,30
51,47
79,76
33,33
70,70
60,56
57,55
25,25
76,76
28,30
