Sine,angle
-0.884,48.209
-0.932,48.323
-0.967,48.438
-0.990,48.552
-1.000,48.666
-0.996,48.780
-0.980,48.895
-0.951,49.009
-0.910,49.123
-0.856,49.237
-0.792,49.352
-0.717,49.466
-0.633,49.580
-0.541,49.694
-0.441,49.809
-0.336,49.923
-0.226,50.037
-0.114,50.151
0.000,50.265
0.114,50.380
0.226,50.494
0.336,50.608
0.441,50.722
0.541,50.837
0.633,50.951
0.717,51.065
0.792,51.179
0.856,51.294
0.910,51.408
0.951,51.522
0.980,51.636
0.996,51.751
1.000,51.865
0.990,51.979
0.967,52.093
0.932,52.208
0.884,52.322
0.825,52.436
0.756,52.550
0.676,52.665
0.588,52.779
0.492,52.893
0.389,53.007
0.282,53.121
0.171,53.236
0.057,53.350
-0.057,53.464
-0.171,53.578
-0.282,53.693
-0.389,53.807
-0.492,53.921
-0.588,54.035
-0.676,54.150
-0.756,54.264
-0.825,54.378
-0.884,54.492
-0.932,54.607
-0.967,54.721
-0.990,54.835
-1.000,54.949
-0.996,55.064
-0.980,55.178
-0.951,55.292
-0.910,55.406
-0.856,55.521
-0.792,55.635
-0.717,55.749
-0.633,55.863
-0.541,55.977
-0.441,56.092
-0.336,56.206
-0.226,56.320
-0.114,56.434
0.000,56.549
0.114,56.663
0.226,56.777
0.336,56.891
0.441,57.006
0.541,57.120
0.633,57.234
0.717,57.348
0.792,57.463
0.856,57.577
0.910,57.691
0.951,57.805
0.980,57.920
0.996,58.034
1.000,58.148
0.990,58.262
0.967,58.377
0.932,58.491
0.884,58.605
0.825,58.719
0.756,58.833
0.676,58.948
0.588,59.062
0.492,59.176
0.389,59.290
0.282,59.405
0.171,59.519
0.057,59.633
-0.057,59.747
-0.171,59.862
-0.282,59.976
-0.389,60.090
-0.492,60.204
-0.588,60.319
-0.676,60.433
-0.756,60.547
-0.825,60.661
-0.884,60.776
-0.932,60.890
-0.967,61.004
-0.990,61.118
-1.000,61.232
-0.996,61.347
-0.980,61.461
-0.951,61.575
-0.910,61.689
-0.856,61.804
-0.792,61.918
-0.717,62.032
-0.633,62.146
-0.541,62.261
-0.441,62.375
-0.336,62.489
-0.226,62.603
-0.114,62.718
0.000,62.832
0.114,62.946
0.226,63.060
0.336,63.175
0.441,63.289
0.541,63.403
0.633,63.517
0.717,63.632
0.792,63.746
0.856,63.860
0.910,63.974
0.951,64.088
0.980,64.203
0.996,64.317
1.000,64.431
0.990,64.545
0.967,64.660
0.932,64.774
0.884,64.888
0.825,65.002
0.756,65.117
0.676,65.231
0.588,65.345
0.492,65.459
0.389,65.574
0.282,65.688
0.171,65.802
0.057,65.916
-0.057,66.031
-0.171,66.145
-0.282,66.259
-0.389,66.373
-0.492,66.488
-0.588,66.602
-0.676,66.716
-0.756,66.830
-0.825,66.944
-0.884,67.059
-0.932,67.173
-0.967,67.287
-0.990,67.401
-1.000,67.516
-0.996,67.630
-0.980,67.744
-0.951,67.858
-0.910,67.973
-0.856,68.087
-0.792,68.201
-0.717,68.315
-0.633,68.430
-0.541,68.544
-0.441,68.658
-0.336,68.772
-0.226,68.887
-0.114,69.001
0.000,69.115
0.114,69.229
0.226,69.344
0.336,69.458
0.441,69.572
0.541,69.686
0.633,69.800
0.717,69.915
0.792,70.029
0.856,70.143
0.910,70.257
0.951,70.372
0.980,70.486
0.996,70.600
1.000,70.714
0.990,70.829
0.967,70.943
0.932,71.057
0.884,71.171
0.825,71.286
0.756,71.400
0.676,71.514
0.588,71.628
0.492,71.743
0.389,71.857
0.282,71.971
0.171,72.085
0.057,72.200
-0.057,72.314
-0.171,72.428
-0.282,72.542
-0.389,72.656
-0.492,72.771
-0.588,72.885
-0.676,72.999
-0.756,73.113
-0.825,73.228
-0.884,73.342
-0.932,73.456
-0.967,73.570
-0.990,73.685
-1.000,73.799
-0.996,73.913
-0.980,74.027
-0.951,74.142
-0.910,74.256
-0.856,74.370
-0.792,74.484
-0.717,74.599
-0.633,74.713
-0.541,74.827
-0.441,74.941
-0.336,75.056
-0.226,75.170
-0.114,75.284
0.000,75.398
0.114,75.512
0.226,75.627
0.336,75.741
0.441,75.855
0.541,75.969
0.633,76.084
0.717,76.198
0.792,76.312
0.856,76.426
0.910,76.541
0.951,76.655
0.980,76.769
0.996,76.883
1.000,76.998
0.990,77.112
0.967,77.226
0.932,77.340
0.884,77.455
0.825,77.569
0.756,77.683
0.676,77.797
0.588,77.911
0.492,78.026
0.389,78.140
0.282,78.254
0.171,78.368
0.057,78.483
-0.057,78.597
-0.171,78.711
-0.282,78.825
-0.389,78.940
-0.492,79.054
-0.588,79.168
-0.676,79.282
-0.756,79.397
-0.825,79.511
-0.884,79.625
-0.932,79.739
-0.967,79.854
-0.990,79.968
-1.000,80.082
-0.996,80.196
-0.980,80.311
-0.951,80.425
-0.910,80.539
-0.856,80.653
-0.792,80.767
-0.717,80.882
-0.633,80.996
-0.541,81.110
-0.441,81.224
-0.336,81.339
-0.226,81.453
-0.114,81.567
0.000,81.681
0.114,81.796
0.226,81.910
0.336,82.024
0.441,82.138
0.541,82.253
0.633,82.367
0.717,82.481
0.792,82.595
0.856,82.710
0.910,82.824
0.951,82.938
0.980,83.052
0.996,83.167
1.000,83.281
0.990,83.395
0.967,83.509
0.932,83.623
0.884,83.738
0.825,83.852
0.756,83.966
0.676,84.080
0.588,84.195
0.492,84.309
0.389,84.423
0.282,84.537
0.171,84.652
0.057,84.766
-0.057,84.880
-0.171,84.994
-0.282,85.109
-0.389,85.223
-0.492,85.337
-0.588,85.451
-0.676,85.566
-0.756,85.680
-0.825,85.794
-0.884,85.908
-0.932,86.023
-0.967,86.137
-0.990,86.251
-1.000,86.365
-0.996,86.479
-0.980,86.594
-0.951,86.708
-0.910,86.822
-0.856,86.936
-0.792,87.051
-0.717,87.165
-0.633,87.279
-0.541,87.393
-0.441,87.508
-0.336,87.622
-0.226,87.736
-0.114,87.850
0.000,87.965
0.114,88.079
0.226,88.193
0.336,88.307
0.441,88.422
0.541,88.536
0.633,88.650
0.717,88.764
0.792,88.879
0.856,88.993
0.910,89.107
0.951,89.221
0.980,89.335
0.996,89.450
1.000,89.564
0.990,89.678
0.967,89.792
0.932,89.907
0.884,90.021
0.825,90.135
0.756,90.249
0.676,90.364
0.588,90.478
0.492,90.592
0.389,90.706
0.282,90.821
0.171,90.935
0.057,91.049
-0.057,91.163
-0.171,91.278
-0.282,91.392
-0.389,91.506
-0.492,91.620
-0.588,91.735
-0.676,91.849
-0.756,91.963
-0.825,92.077
-0.884,92.191
-0.932,92.306
-0.967,92.420
-0.990,92.534
-1.000,92.648
-0.996,92.763
-0.980,92.877
-0.951,92.991
-0.910,93.105
-0.856,93.220
-0.792,93.334
-0.717,93.448
-0.633,93.562
-0.541,93.677
-0.441,93.791
-0.336,93.905
-0.226,94.019
-0.114,94.134
0.000,94.248
0.114,94.362
0.226,94.476
0.336,94.590
0.441,94.705
0.541,94.819
0.633,94.933
0.717,95.047
0.792,95.162
0.856,95.276
0.910,95.390
0.951,95.504
0.980,95.619
0.996,95.733
1.000,95.847
0.990,95.961
0.967,96.076
0.932,96.190
0.884,96.304
0.825,96.418
0.756,96.533
0.676,96.647
0.588,96.761
0.492,96.875
0.389,96.990
0.282,97.104
0.171,97.218
0.057,97.332
-0.057,97.446
-0.171,97.561
-0.282,97.675
-0.389,97.789
-0.492,97.903
-0.588,98.018
-0.676,98.132
-0.756,98.246
-0.825,98.360
-0.884,98.475
-0.932,98.589
-0.967,98.703
-0.990,98.817
-1.000,98.932
-0.996,99.046
-0.980,99.160
-0.951,99.274
-0.910,99.389
-0.856,99.503
-0.792,99.617
-0.717,99.731
-0.633,99.846
-0.541,99.960
-0.441,100.074
-0.336,100.188
-0.226,100.302
-0.114,100.417
0.000,100.531
0.114,100.645
0.226,100.759
0.336,100.874
0.441,100.988
0.541,101.102
0.633,101.216
0.717,101.331
0.792,101.445
0.856,101.559
0.910,101.673
0.951,101.788
0.980,101.902
0.996,102.016
1.000,102.130
0.990,102.245
0.967,102.359
0.932,102.473
0.884,102.587
0.825,102.702
0.756,102.816
0.676,102.930
0.588,103.044
0.492,103.158
0.389,103.273
0.282,103.387
0.171,103.501
0.057,103.615
-0.057,103.730
-0.171,103.844
-0.282,103.958
-0.389,104.072
-0.492,104.187
-0.588,104.301
-0.676,104.415
-0.756,104.529
-0.825,104.644
-0.884,104.758
-0.932,104.872
-0.967,104.986
-0.990,105.101
-1.000,105.215
-0.996,105.329
-0.980,105.443
-0.951,105.558
-0.910,105.672
-0.856,105.786
-0.792,105.900
-0.717,106.014
-0.633,106.129
-0.541,106.243
-0.441,106.357
-0.336,106.471
-0.226,106.586
-0.114,106.700
0.000,106.814
0.114,106.928
0.226,107.043
0.336,107.157
0.441,107.271
0.541,107.385
0.633,107.500
0.717,107.614
0.792,107.728
0.856,107.842
0.910,107.957
0.951,108.071
0.980,108.185
0.996,108.299
1.000,108.414
0.990,108.528
0.967,108.642
0.932,108.756
0.884,108.870
0.825,108.985
0.756,109.099
0.676,109.213
0.588,109.327
0.492,109.442
0.389,109.556
0.282,109.670
0.171,109.784
0.057,109.899
-0.057,110.013
-0.171,110.127
-0.282,110.241
-0.389,110.356
-0.492,110.470
-0.588,110.584
-0.676,110.698
-0.756,110.813
-0.825,110.927
-0.884,111.041
-0.932,111.155
-0.967,111.269
-0.990,111.384
-1.000,111.498
-0.996,111.612
-0.980,111.726
-0.951,111.841
-0.910,111.955
-0.856,112.069
-0.792,112.183
-0.717,112.298
-0.633,112.412
-0.541,112.526
-0.441,112.640
-0.336,112.755
-0.226,112.869
-0.114,112.983
0.000,113.097
0.114,113.212
0.226,113.326
0.336,113.440
0.441,113.554
0.541,113.669
0.633,113.783
0.717,113.897
0.792,114.011
0.856,114.125
0.910,114.240
0.951,114.354
0.980,114.468
0.996,114.582
1.000,114.697
0.990,114.811
0.967,114.925
0.932,115.039
0.884,115.154
0.825,115.268
0.756,115.382
0.676,115.496
0.588,115.611
0.492,115.725
0.389,115.839
0.282,115.953
0.171,116.068
0.057,116.182
-0.057,116.296
-0.171,116.410
-0.282,116.525
-0.389,116.639
-0.492,116.753
-0.588,116.867
-0.676,116.981
-0.756,117.096
-0.825,117.210
-0.884,117.324
-0.932,117.438
-0.967,117.553
-0.990,117.667
-1.000,117.781
-0.996,117.895
-0.980,118.010
-0.951,118.124
-0.910,118.238
-0.856,118.352
-0.792,118.467
-0.717,118.581
-0.633,118.695
-0.541,118.809
-0.441,118.924
-0.336,119.038
-0.226,119.152
-0.114,119.266
0.000,119.381
0.114,119.495
0.226,119.609
0.336,119.723
0.441,119.837
0.541,119.952
0.633,120.066
0.717,120.180
0.792,120.294
0.856,120.409
0.910,120.523
0.951,120.637
0.980,120.751
0.996,120.866
1.000,120.980
0.990,121.094
0.967,121.208
0.932,121.323
0.884,121.437
0.825,121.551
0.756,121.665
0.676,121.780
0.588,121.894
0.492,122.008
0.389,122.122
0.282,122.237
0.171,122.351
0.057,122.465
-0.057,122.579
-0.171,122.693
-0.282,122.808
-0.389,122.922
-0.492,123.036
-0.588,123.150
-0.676,123.265
-0.756,123.379
-0.825,123.493
-0.884,123.607
-0.932,123.722
-0.967,123.836
-0.990,123.950
-1.000,124.064
-0.996,124.179
-0.980,124.293
-0.951,124.407
-0.910,124.521
-0.856,124.636
-0.792,124.750
-0.717,124.864
-0.633,124.978
-0.541,125.093
-0.441,125.207
-0.336,125.321
-0.226,125.435
-0.114,125.549
0.000,125.664
0.114,125.778
0.226,125.892
0.336,126.006
0.441,126.121
0.541,126.235
0.633,126.349
0.717,126.463
0.792,126.578
0.856,126.692
0.910,126.806
0.951,126.920
0.980,127.035
0.996,127.149
1.000,127.263
0.990,127.377
0.967,127.492
0.932,127.606
0.884,127.720
0.825,127.834
0.756,127.949
0.676,128.063
0.588,128.177
0.492,128.291
0.389,128.405
0.282,128.520
0.171,128.634
0.057,128.748
-0.057,128.862
-0.171,128.977
-0.282,129.091
-0.389,129.205
-0.492,129.319
-0.588,129.434
-0.676,129.548
-0.756,129.662
-0.825,129.776
-0.884,129.891
-0.932,130.005
-0.967,130.119
-0.990,130.233
-1.000,130.348
-0.996,130.462
-0.980,130.576
-0.951,130.690
-0.910,130.804
-0.856,130.919
-0.792,131.033
-0.717,131.147
-0.633,131.261
-0.541,131.376
-0.441,131.490
-0.336,131.604
-0.226,131.718
-0.114,131.833
0.000,131.947
0.114,132.061
0.226,132.175
0.336,132.290
0.441,132.404
0.541,132.518
0.633,132.632
0.717,132.747
0.792,132.861
0.856,132.975
0.910,133.089
0.951,133.204
0.980,133.318
0.996,133.432
1.000,133.546
0.990,133.660
0.967,133.775
0.932,133.889
0.884,134.003
0.825,134.117
0.756,134.232
0.676,134.346
0.588,134.460
0.492,134.574
0.389,134.689
0.282,134.803
0.171,134.917
0.057,135.031
-0.057,135.146
-0.171,135.260
-0.282,135.374
-0.389,135.488
-0.492,135.603
-0.588,135.717
-0.676,135.831
-0.756,135.945
-0.825,136.060
-0.884,136.174
-0.932,136.288
-0.967,136.402
-0.990,136.516
-1.000,136.631
-0.996,136.745
-0.980,136.859
-0.951,136.973
-0.910,137.088
-0.856,137.202
-0.792,137.316
-0.717,137.430
-0.633,137.545
-0.541,137.659
-0.441,137.773
-0.336,137.887
-0.226,138.002
-0.114,138.116
0.000,138.230
0.114,138.344
0.226,138.459
0.336,138.573
0.441,138.687
0.541,138.801
0.633,138.916
0.717,139.030
0.792,139.144
0.856,139.258
0.910,139.372
0.951,139.487
0.980,139.601
0.996,139.715
1.000,139.829
0.990,139.944
0.967,140.058
0.932,140.172
0.884,140.286
0.825,140.401
0.756,140.515
0.676,140.629
0.588,140.743
0.492,140.858
0.389,140.972
0.282,141.086
0.171,141.200
0.057,141.315
-0.057,141.429
-0.171,141.543
-0.282,141.657
-0.389,141.772
-0.492,141.886
-0.588,142.000
-0.676,142.114
-0.756,142.228
-0.825,142.343
-0.884,142.457
-0.932,142.571
-0.967,142.685
-0.990,142.800
-1.000,142.914
-0.996,143.028
-0.980,143.142
-0.951,143.257
-0.910,143.371
-0.856,143.485
-0.792,143.599
-0.717,143.714
-0.633,143.828
-0.541,143.942
-0.441,144.056
-0.336,144.171
-0.226,144.285
-0.114,144.399
0.000,144.513
0.114,144.628
0.226,144.742
0.336,144.856
0.441,144.970
0.541,145.084
0.633,145.199
0.717,145.313
0.792,145.427
0.856,145.541
0.910,145.656
0.951,145.770
0.980,145.884
0.996,145.998
1.000,146.113
0.990,146.227
0.967,146.341
0.932,146.455
0.884,146.570
0.825,146.684
0.756,146.798
0.676,146.912
0.588,147.027
0.492,147.141
0.389,147.255
0.282,147.369
0.171,147.483
0.057,147.598
-0.057,147.712
-0.171,147.826
-0.282,147.940
-0.389,148.055
-0.492,148.169
-0.588,148.283
-0.676,148.397
-0.756,148.512
-0.825,148.626
-0.884,148.740
-0.932,148.854
-0.967,148.969
-0.990,149.083
-1.000,149.197
-0.996,149.311
-0.980,149.426
-0.951,149.540
-0.910,149.654
-0.856,149.768
-0.792,149.883
-0.717,149.997
-0.633,150.111
-0.541,150.225
-0.441,150.339
-0.336,150.454
-0.226,150.568
-0.114,150.682
0.000,150.796
0.114,150.911
0.226,151.025
0.336,151.139
0.441,151.253
0.541,151.368
0.633,151.482
0.717,151.596
0.792,151.710
0.856,151.825
0.910,151.939
0.951,152.053
0.980,152.167
0.996,152.282
1.000,152.396
0.990,152.510
0.967,152.624
0.932,152.739
0.884,152.853
0.825,152.967
0.756,153.081
0.676,153.195
0.588,153.310
0.492,153.424
0.389,153.538
0.282,153.652
0.171,153.767
0.057,153.881
-0.057,153.995
-0.171,154.109
-0.282,154.224
-0.389,154.338
-0.492,154.452
-0.588,154.566
-0.676,154.681
-0.756,154.795
-0.825,154.909
-0.884,155.023
-0.932,155.138
-0.967,155.252
-0.990,155.366
-1.000,155.480
-0.996,155.595
-0.980,155.709
-0.951,155.823
-0.910,155.937
-0.856,156.051
-0.792,156.166
-0.717,156.280
-0.633,156.394
-0.541,156.508
-0.441,156.623
-0.336,156.737
-0.226,156.851
-0.114,156.965
0.000,157.080
0.114,157.194
0.226,157.308
0.336,157.422
0.441,157.537
0.541,157.651
0.633,157.765
0.717,157.879
0.792,157.994
0.856,158.108
0.910,158.222
0.951,158.336
0.980,158.451
0.996,158.565
1.000,158.679
0.990,158.793
0.967,158.907
0.932,159.022
0.884,159.136
0.825,159.250
0.756,159.364
0.676,159.479
0.588,159.593
0.492,159.707
0.389,159.821
0.282,159.936
0.171,160.050
0.057,160.164
-0.057,160.278
-0.171,160.393
-0.282,160.507
-0.389,160.621
-0.492,160.735
-0.588,160.850
-0.676,160.964
-0.756,161.078
-0.825,161.192
-0.884,161.307
-0.932,161.421
-0.967,161.535
-0.990,161.649
-1.000,161.763
-0.996,161.878
-0.980,161.992
-0.951,162.106
-0.910,162.220
-0.856,162.335
-0.792,162.449
-0.717,162.563
-0.633,162.677
-0.541,162.792
-0.441,162.906
-0.336,163.020
-0.226,163.134
-0.114,163.249
0.000,163.363
0.114,163.477
0.226,163.591
0.336,163.706
0.441,163.820
0.541,163.934
0.633,164.048
0.717,164.162
0.792,164.277
0.856,164.391
0.910,164.505
0.951,164.619
0.980,164.734
0.996,164.848
1.000,164.962
0.990,165.076
0.967,165.191
0.932,165.305
0.884,165.419
0.825,165.533
0.756,165.648
0.676,165.762
0.588,165.876
0.492,165.990
0.389,166.105
0.282,166.219
0.171,166.333
0.057,166.447
-0.057,166.562
-0.171,166.676
-0.282,166.790
-0.389,166.904
-0.492,167.018
-0.588,167.133
-0.676,167.247
-0.756,167.361
-0.825,167.475
-0.884,167.590
-0.932,167.704
-0.967,167.818
-0.990,167.932
-1.000,168.047
-0.996,168.161
-0.980,168.275
-0.951,168.389
-0.910,168.504
-0.856,168.618
-0.792,168.732
-0.717,168.846
-0.633,168.961
-0.541,169.075
-0.441,169.189
-0.336,169.303
-0.226,169.418
-0.114,169.532
0.000,169.646
0.114,169.760
0.226,169.874
0.336,169.989
0.441,170.103
0.541,170.217
0.633,170.331
0.717,170.446
0.792,170.560
0.856,170.674
0.910,170.788
0.951,170.903
0.980,171.017
0.996,171.131
1.000,171.245
0.990,171.360
0.967,171.474
0.932,171.588
0.884,171.702
0.825,171.817
0.756,171.931
0.676,172.045
0.588,172.159
0.492,172.274
0.389,172.388
0.282,172.502
0.171,172.616
0.057,172.730
-0.057,172.845
-0.171,172.959
-0.282,173.073
-0.389,173.187
-0.492,173.302
-0.588,173.416
-0.676,173.530
-0.756,173.644
-0.825,173.759
-0.884,173.873
-0.932,173.987
-0.967,174.101
-0.990,174.216
-1.000,174.330
-0.996,174.444
-0.980,174.558
-0.951,174.673
-0.910,174.787
-0.856,174.901
-0.792,175.015
-0.717,175.130
-0.633,175.244
-0.541,175.358
-0.441,175.472
-0.336,175.586
-0.226,175.701
-0.114,175.815
0.000,175.929
0.114,176.043
0.226,176.158
0.336,176.272
0.441,176.386
0.541,176.500
0.633,176.615
0.717,176.729
0.792,176.843
0.856,176.957
0.910,177.072
0.951,177.186
0.980,177.300
0.996,177.414
1.000,177.529
0.990,177.643
0.967,177.757
0.932,177.871
0.884,177.986
0.825,178.100
0.756,178.214
0.676,178.328
0.588,178.442
0.492,178.557
0.389,178.671
0.282,178.785
0.171,178.899
0.057,179.014
-0.057,179.128
-0.171,179.242
-0.282,179.356
-0.389,179.471
-0.492,179.585
-0.588,179.699
-0.676,179.813
-0.756,179.928
-0.825,180.042
-0.884,180.156
-0.932,180.270
-0.967,180.385
-0.990,180.499
-1.000,180.613
-0.996,180.727
-0.980,180.841
-0.951,180.956
-0.910,181.070
-0.856,181.184
-0.792,181.298
-0.717,181.413
-0.633,181.527
-0.541,181.641
-0.441,181.755
-0.336,181.870
-0.226,181.984
-0.114,182.098
0.000,182.212
0.114,182.327
0.226,182.441
0.336,182.555
0.441,182.669
0.541,182.784
0.633,182.898
0.717,183.012
0.792,183.126
0.856,183.241
0.910,183.355
0.951,183.469
0.980,183.583
0.996,183.697
1.000,183.812
0.990,183.926
0.967,184.040
0.932,184.154
0.884,184.269
0.825,184.383
0.756,184.497
0.676,184.611
0.588,184.726
0.492,184.840
0.389,184.954
0.282,185.068
0.171,185.183
0.057,185.297
-0.057,185.411
-0.171,185.525
-0.282,185.640
-0.389,185.754
-0.492,185.868
-0.588,185.982
-0.676,186.097
-0.756,186.211
-0.825,186.325
-0.884,186.439
-0.932,186.553
-0.967,186.668
-0.990,186.782
-1.000,186.896
-0.996,187.010
-0.980,187.125
-0.951,187.239
-0.910,187.353
-0.856,187.467
-0.792,187.582
-0.717,187.696
-0.633,187.810
-0.541,187.924
-0.441,188.039
-0.336,188.153
-0.226,188.267
-0.114,188.381
0.000,188.496
0.114,188.610
0.226,188.724
0.336,188.838
0.441,188.953
0.541,189.067
0.633,189.181
0.717,189.295
0.792,189.409
0.856,189.524
0.910,189.638
0.951,189.752
0.980,189.866
0.996,189.981
1.000,190.095
0.990,190.209
0.967,190.323
0.932,190.438
0.884,190.552
0.825,190.666
0.756,190.780
0.676,190.895
0.588,191.009
0.492,191.123
0.389,191.237
0.282,191.352
0.171,191.466
0.057,191.580
-0.057,191.694
-0.171,191.809
-0.282,191.923
-0.389,192.037
-0.492,192.151
-0.588,192.265
-0.676,192.380
-0.756,192.494
-0.825,192.608
-0.884,192.722
-0.932,192.837
-0.967,192.951
-0.990,193.065
-1.000,193.179
-0.996,193.294
-0.980,193.408
-0.951,193.522
-0.910,193.636
-0.856,193.751
