f0, f1
S, D
C, YX
F, F
G, N
F, S
H, B
M, F
Y, I
A, XX
X, V
R, D
C, XX
S, C
G, G
Z, H
M, C
E, YY
H, U
I, T
C, XX
B, XX
R, E
J, L
Q, W
C, XX
E, XX
Z, H
K, W
U, Q
U, C
S, B
Y, E
K, P
U, R
E, XX
J, A
R, V
Z, D
X, C
K, B
G, I
S, R
T, O
O, Z
R, I
N, S
C, XX
G, I
R, K
V, O
Z, B
Q, E
W, W
W, B
M, G
Z, B
F, Q
K, G
L, U
L, W
L, D
M, Q
C, XX
O, A
C, XX
Q, H
N, F
R, Y
J, B
F, L
O, Q
M, R
S, C
T, F
I, V
Z, H
N, S
B, YX
D, XX
S, C
P, E
Y, K
L, U
S, C
K, Y
V, P
U, L
R, Y
D, XX
N, B
Y, V
M, N
X, E
P, S
D, XX
P, W
N, K
Z, X
T, H
Z, Z
L, D
K, S
T, H
S, W
S, Y
Q, F
Q, H
I, R
Z, Q
Y, N
S, I
D, XX
M, O
R, K
T, V
H, W
V, N
A, YX
R, F
T, E
H, G
V, R
H, T
A, XX
C, XX
T, W
T, O
G, U
U, H
R, Y
K, Y
Z, I
O, A
G, Q
U, W
V, X
S, Q
T, O
P, U
Z, H
E, XX
E, YX
N, J
L, O
D, XX
G, I
S, E
D, XX
B, XY
Q, R
M, O
J, U
I, F
E, YY
N, K
N, C
F, F
I, J
F, T
N, Z
V, Z
A, XX
L, X
P, Q
Y, R
I, X
Y, K
O, H
X, V
J, U
L, B
X, F
N, Y
E, XY
N, A
B, XX
U, W
L, C
N, S
Z, U
Q, Y
T, D
L, I
C, YY
U, O
O, F
G, K
Q, L
A, XX
N, Q
Q, T
P, S
B, XY
C, XX
H, C
T, L
K, R
M, N
D, XX
U, O
Y, D
R, X
U, S
J, Y
O, O
D, YY
P, N
Y, H
T, X
I, K
Q, N
E, XX
V, F
E, XX
W, W
Y, Z
L, O
H, B
C, XX
M, I
D, XX
C, XX
X, I
L, Q
H, P
O, J
I, L
A, XX
F, T
L, V
D, XX
W, M
J, H
O, E
P, V
W, D
O, G
X, B
B, YY
N, A
P, K
P, X
O, O
Z, M
U, J
F, U
T, H
M, N
K, N
R, W
U, P
E, XX
L, E
Y, R
Z, T
M, J
F, M
B, XX
B, XX
X, J
M, L
B, XY
I, S
N, V
V, G
O, E
Q, J
Q, V
N, J
X, N
J, W
M, M
P, N
D, YX
C, XX
F, E
J, S
D, XX
V, S
M, M
F, E
V, A
B, XX
E, XX
B, XX
B, XX
E, XY
P, O
A, XX
R, H
C, XX
Z, W
E, XX
P, U
V, E
R, G
S, I
L, P
F, K
C, XX
W, N
K, D
C, XX
P, B
U, N
D, XX
D, XX
V, X
U, Q
N, J
B, XX
F, U
U, J
P, T
T, S
C, YX
M, G
W, H
W, K
E, XX
U, P
D, YY
R, R
I, J
E, XX
G, W
L, J
H, R
T, K
U, M
J, O
G, H
I, S
T, W
R, T
L, S
E, XX
K, I
O, S
S, E
Z, A
C, YX
Y, L
B, XX
C, YY
J, Z
P, N
S, P
Y, V
Q, L
F, R
U, H
A, XX
N, G
E, YY
G, A
E, XY
U, J
K, P
N, T
B, YY
H, V
X, J
Z, H
P, F
Y, O
G, K
C, YY
H, Y
U, Y
W, V
O, S
Z, O
U, T
Y, L
L, P
A, YX
B, XX
Z, R
F, I
Y, N
A, XX
G, C
R, V
B, XY
M, J
X, G
Y, R
X, M
F, T
W, F
F, G
Q, E
C, XY
R, R
P, T
O, B
M, Q
M, Z
X, W
M, Z
X, H
F, O
B, XX
M, O
N, K
R, E
Z, S
L, R
A, XX
P, I
P, G
O, G
M, P
J, M
F, S
J, W
H, E
D, XX
F, C
H, G
L, J
D, XY
D, XX
E, XX
Z, W
N, S
U, H
O, O
K, R
B, XX
M, Q
L, I
J, O
Y, G
A, YX
W, Z
F, O
Q, E
U, J
R, M
T, X
J, H
Q, D
E, XX
I, Q
O, W
B, YX
F, I
H, G
Q, H
L, W
J, P
Z, K
E, YY
S, R
Y, S
C, YX
C, YY
W, O
A, XX
T, C
G, E
R, X
I, G
H, Q
D, XX
A, XX
W, I
M, Z
O, H
L, Z
S, E
P, Q
Q, O
N, Q
I, J
O, U
L, J
G, H
A, XX
W, I
M, A
X, Y
M, A
L, H
G, A
J, K
O, K
E, XX
K, J
G, K
G, T
X, U
R, H
T, V
K, W
E, XX
Q, Q
H, Q
E, YY
B, XX
E, YX
G, S
S, G
D, XX
I, I
U, Z
M, U
I, V
Y, B
U, B
M, E
V, V
V, D
T, G
U, L
T, A
L, U
N, Z
M, R
I, I
Q, B
Y, N
G, Q
F, X
W, F
C, XX
I, E
H, D
U, A
B, XX
M, P
J, C
E, YY
Q, Y
Z, Q
B, XX
S, U
D, XX
Z, U
T, U
L, F
R, J
D, XX
M, L
H, S
E, YX
J, T
H, V
X, O
B, YX
H, G
J, A
Q, J
E, YY
W, U
G, S
R, O
K, N
M, O
P, I
Q, C
N, B
V, D
W, F
M, C
O, V
R, N
S, G
J, P
B, XY
F, M
X, C
U, B
O, Y
K, J
S, V
G, B
B, XX
Y, Y
C, XX
N, E
N, G
Q, E
T, K
C, XX
J, L
R, W
E, YX
K, I
E, XY
L, J
I, Z
I, J
T, L
S, P
O, F
T, Y
G, Z
L, K
S, Z
P, N
Z, H
H, F
W, A
V, R
H, O
O, Y
E, YY
J, D
J, P
G, V
C, XX
X, T
S, U
E, XX
R, O
X, P
H, T
O, C
B, XX
J, V
K, W
W, F
Q, P
A, XX
J, H
B, XX
D, XX
F, B
T, K
L, P
N, F
H, K
D, YY
O, B
K, C
N, U
D, YX
O, M
Q, F
Q, T
G, B
U, I
Y, C
R, L
J, I
P, A
H, Z
Q, Z
L, D
B, XX
F, J
T, W
C, YY
Y, Y
W, V
A, XX
C, XX
A, XX
N, F
N, G
M, S
D, XX
A, XX
R, B
E, XX
U, Q
B, XX
A, XX
H, W
R, W
A, XX
Q, G
J, Z
C, XX
W, N
E, XX
L, Y
A, XX
N, I
K, E
J, J
Q, G
Z, N
V, Q
W, X
V, A
O, H
D, XX
R, C
J, Y
P, Q
F, G
D, XY
X, I
O, F
D, XX
U, W
I, S
N, D
Z, Z
D, XY
X, I
O, Y
D, XX
W, S
T, W
K, K
L, Y
X, Y
H, U
C, YX
T, P
G, O
G, G
R, J
R, M
N, P
S, J
W, M
D, YX
A, XX
A, XX
K, T
Z, T
B, XY
Z, W
M, I
L, G
K, B
T, J
I, P
T, P
N, W
U, N
L, V
B, XY
N, K
T, O
N, Q
B, XX
K, H
V, L
K, P
B, XX
D, XX
L, S
C, XX
Y, S
D, XX
L, E
P, S
F, L
G, R
X, U
S, D
C, XX
J, N
J, U
N, Y
J, J
T, X
O, R
D, XX
E, XX
K, I
T, L
Q, D
D, XX
Q, G
L, W
O, A
W, G
P, M
K, C
P, G
O, Q
O, V
B, YX
Q, A
W, R
V, H
X, B
K, E
R, P
R, P
U, E
L, P
Y, C
H, J
J, B
L, O
H, D
S, H
N, N
S, P
C, XX
Q, Z
M, R
Y, Z
H, P
I, N
Z, J
D, XX
N, Q
M, E
P, S
Z, A
A, XX
D, XX
U, Z
K, I
O, Q
A, XX
H, U
I, N
I, A
R, I
S, Q
A, YX
I, I
R, X
U, Q
M, Q
X, N
I, U
K, T
V, H
S, I
N, F
R, U
X, J
Z, H
A, XY
Q, V
O, K
P, W
T, S
I, A
K, M
G, L
Y, F
H, C
U, U
X, L
A, XX
N, E
Y, T
N, U
D, XX
V, Y
R, D
S, L
S, N
A, XY
R, P
C, XX
B, XX
R, I
P, I
X, I
F, H
I, L
D, YX
H, A
Q, N
F, J
I, D
S, H
G, B
P, I
L, D
M, R
C, YY
L, E
P, P
V, S
Q, I
V, S
R, N
Z, T
M, D
V, X
M, L
R, S
M, G
F, W
Q, X
K, S
R, U
W, L
A, XX
J, L
E, XX
P, D
C, XX
U, I
Q, U
N, K
K, Q
O, Z
J, I
V, P
U, L
U, O
G, R
C, XY
O, M
P, M
O, V
E, XY
B, YX
V, U
J, M
R, C
V, X
X, Q
A, YX
D, XX
K, P
F, R
I, O
X, H
Y, L
Z, I
C, YY
Z, K
D, XX
J, O
B, XX
V, J
W, W
G, S
K, I
J, J
O, R
M, E
J, Y
V, E
Z, R
D, YY
A, XX
M, L
Z, C
Q, K
L, U
P, L
E, XX
O, L
J, E
P, P
W, G
N, K
O, J
Z, O
S, C
M, R
D, XX
Z, Z
U, M
C, XX
C, XX
T, Y
C, XX
U, I
B, XX
U, M
N, M
T, K
Y, U
H, A
X, T
S, O
B, XX
E, YY
Z, V
Q, H
C, XX
W, H
D, XX
W, A
C, YX
P, D
L, V
G, S
M, U
W, I
C, YX
Y, E
M, Z
U, G
L, Q
F, T
I, Q
T, D
E, XX
H, T
T, N
J, S
M, D
W, A
Y, L
R, Z
R, B
X, Q
Y, L
X, W
I, G
C, XX
K, U
T, T
P, F
I, R
E, XX
R, V
A, YY
C, XX
F, H
F, A
C, XY
R, V
Y, Q
S, D
W, D
R, X
O, Z
X, S
G, M
Y, Q
X, H
L, X
U, I
E, YY
U, J
I, B
Y, G
L, M
Y, P
E, XX
D, XX
F, Q
X, S
C, YY
O, G
L, X
D, XX
Y, R
G, S
X, O
N, Y
M, L
V, U
U, O
A, XY
V, M
O, Y
J, R
K, Q
Y, C
N, Y
C, XX
T, Q
E, YY
J, E
S, X
Q, J
C, XX
T, D
F, S
P, M
B, XX
I, N
V, L
Z, A
B, XX
B, YX
U, R
L, R
W, D
P, Y
A, YX
Q, M
X, B
S, D
E, YY
H, U
L, E
P, V
C, XX
U, F
U, L
V, Z
R, I
Z, O
D, XX
U, T
P, I
D, YX
K, S
O, L
Y, B
C, XX
P, U
A, XX
A, YX
C, XX
X, K
U, U
S, F
Q, N
K, Y
P, A
E, XX
Y, Q
U, J
A, XX
D, XX
C, XX
T, O
F, U
R, H
F, U
R, Z
M, E
R, B
Q, H
L, I
U, T
B, XX
Y, E
U, M
D, XX
S, P
I, F
R, I
U, I
C, XX
W, J
F, M
M, X
D, XY
L, K
D, XX
Q, Z
F, D
R, B
D, XX
L, E
I, X
P, U
Q, P
E, XY
W, C
W, M
Z, P
V, H
S, T
G, I
P, X
P, D
O, A
Z, B
M, T
A, XX
M, U
V, L
G, O
A, XX
Y, D
H, Q
C, XX
H, S
W, T
A, XX
U, W
K, U
J, M
Q, W
B, XX
I, A
L, H
Y, O
U, U
C, XX
T, B
Y, R
X, C
J, Q
J, E
O, B
S, F
Z, G
C, XX
Y, P
Y, F
T, F
J, G
R, H
B, XX
M, N
D, XX
R, N
H, Q
U, Y
V, Y
B, XX
L, C
X, H
Y, C
H, S
M, W
N, Q
H, Z
O, D
J, L
Q, H
B, XX
G, Y
Q, K
I, Q
I, P
S, V
L, H
D, XX
E, XX
M, Z
U, B
J, L
E, XY
S, H
Z, V
S, R
D, XX
B, XX
D, XX
E, XX
A, XX
I, J
O, E
H, X
K, M
D, XX
I, A
T, Z
I, S
M, H
Y, Z
O, D
O, X
L, R
T, X
D, XX
I, K
V, L
C, YY
Q, P
F, Y
H, A
N, L
R, C
N, F
I, P
Y, X
J, D
W, J
J, H
J, Z
W, C
S, L
Z, U
H, U
Z, L
X, D
P, C
F, M
W, Z
B, XY
T, C
K, X
K, O
S, T
D, YX
J, O
B, XX
V, H
O, M
A, YY
G, Y
V, M
Q, X
K, M
R, G
D, XX
Z, B
T, P
O, W
Q, M
S, D
N, O
V, E
B, XX
W, D
E, XX
K, X
J, H
N, Y
N, T
E, YY
T, O
W, V
R, H
R, R
C, XX
V, A
N, J
M, I
X, C
E, XX
E, XX
P, V
N, N
O, T
C, XX
B, XX
Y, M
I, J
V, X
P, T
I, S
A, XX
F, W
D, XX
D, YX
C, XX
U, C
U, T
B, YX
U, N
B, YX
G, B
R, T
U, X
F, X
E, XX
C, XX
Y, Y
J, E
N, S
G, O
C, XX
A, XX
E, XX
X, N
Z, C
F, N
S, J
P, L
Y, E
J, J
F, F
C, XY
D, YX
D, XX
S, O
B, XX
D, XX
P, I
Z, L
O, H
W, E
B, XX
M, R
E, XY
M, C
L, R
C, YX
K, P
C, XY
Z, B
Z, I
P, Z
D, XX
S, H
S, P
H, U
Q, K
M, P
K, M
H, T
C, XX
M, Q
D, YY
B, YY
R, Z
J, R
D, XX
C, YY
T, T
U, F
R, M
G, I
W, O
Y, A
L, X
J, I
J, L
A, XX
W, H
S, M
D, XX
M, C
R, R
R, O
M, W
N, K
M, Z
Q, J
Z, I
A, YY
V, J
T, A
X, I
C, XX
J, J
R, G
Q, P
X, B
H, I
A, XX
L, W
O, X
G, S
P, Z
J, K
O, V
C, XX
I, N
T, I
P, J
L, M
W, U
V, N
H, B
Z, K
F, T
C, XX
C, XX
B, XX
M, F
U, Q
H, U
L, O
F, K
Q, L
T, E
A, XX
W, O
F, Z
T, M
Y, N
P, T
L, O
Q, N
J, D
D, XX
H, L
I, V
B, XX
K, V
Q, G
P, K
C, YX
G, V
M, O
L, Q
A, YX
