f0, f1
R, Y
J, B
F, L
O, Q
M, R
S, C
T, F
I, V
Z, H
N, S
B, E
D, S
S, C
P, E
Y, K
L, U
S, C
K, Y
V, P
U, L
R, Y
D, M
N, B
Y, V
M, N
X, E
P, S
D, K
P, W
N, K
Z, X
T, H
Z, Z
L, D
K, S
T, H
S, W
S, Y
Q, F
Q, H
I, R
Z, Q
Y, N
S, I
D, J
M, O
R, K
T, V
H, W
V, N
A, D
R, F
T, E
H, G
V, R
H, T
A, V
C, W
T, W
T, O
G, U
U, H
R, Y
K, Y
Z, I
O, A
G, Q
U, W
V, X
S, Q
T, O
P, U
Z, H
E, R
E, E
N, J
L, O
D, P
G, I
S, E
D, I
B, Y
Q, R
M, O
J, U
I, F
E, B
N, K
N, C
F, F
I, J
F, T
N, Z
V, Z
A, R
L, X
P, Q
Y, R
I, X
Y, K
O, H
X, V
J, U
L, B
X, F
N, Y
E, Y
N, A
B, R
U, W
L, C
N, S
Z, U
Q, Y
T, D
L, I
C, B
U, O
O, F
G, K
Q, L
A, R
N, Q
Q, T
P, S
B, Y
C, U
H, C
T, L
K, R
M, N
D, K
U, O
Y, D
R, X
U, S
J, Y
O, O
D, A
P, N
Y, H
T, X
I, K
Q, N
E, F
V, F
E, U
W, W
Y, Z
L, O
H, B
C, S
M, I
D, R
C, Q
X, I
L, Q
H, P
O, J
I, L
A, G
F, T
L, V
D, T
W, M
J, H
O, E
P, V
W, D
O, G
X, B
B, A
N, A
P, K
P, X
O, O
Z, M
U, J
F, U
T, H
M, N
K, N
R, W
U, P
E, N
L, E
Y, R
Z, T
M, J
F, M
B, J
B, F
X, J
M, L
B, Z
I, S
N, V
V, G
O, E
Q, J
Q, V
N, J
X, N
J, W
M, M
P, N
D, E
C, Q
F, E
J, S
D, F
V, S
M, M
F, E
V, A
B, O
E, Q
B, O
B, G
E, Y
P, O
A, S
R, H
C, L
Z, W
E, V
P, U
V, E
R, G
S, I
L, P
F, K
C, F
W, N
K, D
C, M
P, B
U, N
D, M
D, P
V, X
U, Q
N, J
B, N
F, U
U, J
P, T
T, S
C, D
M, G
W, H
W, K
E, S
U, P
D, A
R, R
I, J
E, Q
G, W
L, J
H, R
T, K
U, M
J, O
G, H
I, S
T, W
R, T
L, S
E, F
K, I
O, S
S, E
Z, A
C, D
Y, L
B, F
C, A
J, Z
P, N
S, P
Y, V
Q, L
F, R
U, H
A, P
N, G
E, A
G, A
E, Z
U, J
K, P
N, T
B, C
H, V
X, J
Z, H
P, F
Y, O
G, K
C, B
H, Y
U, Y
W, V
O, S
Z, O
U, T
Y, L
L, P
A, D
B, Q
Z, R
F, I
Y, N
A, V
G, C
R, V
B, Y
M, J
X, G
Y, R
X, M
F, T
W, F
F, G
Q, E
C, X
R, R
P, T
O, B
M, Q
M, Z
X, W
M, Z
X, H
F, O
B, U
M, O
N, K
R, E
Z, S
L, R
A, F
P, I
P, G
O, G
M, P
J, M
F, S
J, W
H, E
D, O
F, C
H, G
L, J
D, Y
D, U
E, M
Z, W
N, S
U, H
O, O
K, R
B, V
M, Q
L, I
J, O
Y, G
A, D
W, Z
F, O
Q, E
U, J
R, M
T, X
J, H
Q, D
E, V
I, Q
O, W
B, E
F, I
H, G
Q, H
L, W
J, P
Z, K
E, A
S, R
Y, S
C, E
C, B
W, O
A, K
T, C
G, E
R, X
I, G
H, Q
D, V
A, R
W, I
M, Z
O, H
L, Z
S, E
P, Q
Q, O
N, Q
I, J
O, U
L, J
G, H
A, V
W, I
M, A
X, Y
M, A
L, H
G, A
J, K
O, K
E, T
K, J
G, K
G, T
X, U
R, H
T, V
K, W
E, H
Q, Q
H, Q
E, A
B, N
E, C
G, S
S, G
D, M
I, I
U, Z
M, U
I, V
Y, B
U, B
M, E
V, V
V, D
T, G
U, L
T, A
L, U
N, Z
M, R
I, I
Q, B
Y, N
G, Q
F, X
W, F
C, Q
I, E
H, D
U, A
B, U
M, P
J, C
E, C
Q, Y
Z, Q
B, Q
S, U
D, G
Z, U
T, U
L, F
R, J
D, X
M, L
H, S
E, E
J, T
H, V
X, O
B, E
H, G
J, A
Q, J
E, A
W, U
G, S
R, O
K, N
M, O
P, I
Q, C
N, B
V, D
W, F
M, C
O, V
R, N
S, G
J, P
B, Y
F, M
X, C
U, B
O, Y
K, J
S, V
G, B
B, H
Y, Y
C, S
N, E
N, G
Q, E
T, K
C, Q
J, L
R, W
E, E
K, I
E, Z
L, J
I, Z
I, J
T, L
S, P
O, F
T, Y
G, Z
L, K
S, Z
P, N
Z, H
H, F
W, A
V, R
H, O
O, Y
E, A
J, D
J, P
G, V
C, K
X, T
S, U
E, V
R, O
X, P
H, T
O, C
B, U
J, V
K, W
W, F
Q, P
A, U
J, H
B, O
D, N
F, B
T, K
L, P
N, F
H, K
D, C
O, B
K, C
N, U
D, D
O, M
Q, F
Q, T
G, B
U, I
Y, C
R, L
J, I
P, A
H, Z
Q, Z
L, D
B, V
F, J
T, W
C, B
Y, Y
W, V
A, S
C, L
A, F
N, F
N, G
M, S
D, S
A, P
R, B
E, H
U, Q
B, R
A, K
H, W
R, W
A, W
Q, G
J, Z
C, I
W, N
E, N
L, Y
A, G
N, I
K, E
J, J
Q, G
Z, N
V, Q
W, X
V, A
O, H
D, X
R, C
J, Y
P, Q
F, G
D, Z
X, I
O, F
D, O
U, W
I, S
N, D
Z, Z
D, Y
X, I
O, Y
D, I
W, S
T, W
K, K
L, Y
X, Y
H, U
C, E
T, P
G, O
G, G
R, J
R, M
N, P
S, J
W, M
D, F
A, T
A, H
K, T
Z, T
B, Y
Z, W
M, I
L, G
K, B
T, J
I, P
T, P
N, W
U, N
L, V
B, Z
N, K
T, O
N, Q
B, H
K, H
V, L
K, P
B, N
D, V
L, S
C, U
Y, S
D, K
L, E
P, S
F, L
G, R
X, U
S, D
C, L
J, N
J, U
N, Y
J, J
T, X
O, R
D, W
E, S
K, I
T, L
Q, D
D, F
Q, G
L, W
O, A
W, G
P, M
K, C
P, G
O, Q
O, V
B, D
Q, A
W, R
V, H
X, B
K, E
R, P
R, P
U, E
L, P
Y, C
H, J
J, B
L, O
H, D
S, H
N, N
S, P
C, S
Q, Z
M, R
Y, Z
H, P
I, N
Z, J
D, O
N, Q
M, E
P, S
Z, A
A, Q
D, W
U, Z
K, I
O, Q
A, F
H, U
I, N
I, A
R, I
S, Q
A, E
I, I
R, X
U, Q
M, Q
X, N
I, U
K, T
V, H
S, I
N, F
R, U
X, J
Z, H
A, Z
Q, V
O, K
P, W
T, S
I, A
K, M
G, L
Y, F
H, C
U, U
X, L
A, M
N, E
Y, T
N, U
D, W
V, Y
R, D
S, L
S, N
A, Y
R, P
C, M
B, N
R, I
P, I
X, I
F, H
I, L
D, D
H, A
Q, N
F, J
I, D
S, H
G, B
P, I
L, D
M, R
C, B
L, E
P, P
V, S
Q, I
V, S
R, N
Z, T
M, D
V, X
M, L
R, S
M, G
F, W
Q, X
K, S
R, U
W, L
A, M
J, L
E, T
P, D
C, V
U, I
Q, U
N, K
K, Q
O, Z
J, I
V, P
U, L
U, O
G, R
C, Y
O, M
P, M
O, V
E, Y
B, C
V, U
J, M
R, C
V, X
X, Q
A, D
D, N
K, P
F, R
I, O
X, H
Y, L
Z, I
C, A
Z, K
D, H
J, O
B, S
V, J
W, W
G, S
K, I
J, J
O, R
M, E
J, Y
V, E
Z, R
D, B
A, S
M, L
Z, C
Q, K
L, U
P, L
E, N
O, L
J, E
P, P
W, G
N, K
O, J
Z, O
S, C
M, R
D, T
Z, Z
U, M
C, X
C, M
T, Y
C, Q
U, I
B, I
U, M
N, M
T, K
Y, U
H, A
X, T
S, O
B, M
E, B
Z, V
Q, H
C, N
W, H
D, H
W, A
C, E
P, D
L, V
G, S
M, U
W, I
C, D
Y, E
M, Z
U, G
L, Q
F, T
I, Q
T, D
E, K
H, T
T, N
J, S
M, D
W, A
Y, L
R, Z
R, B
X, Q
Y, L
X, W
I, G
C, R
K, U
T, T
P, F
I, R
E, O
R, V
A, C
C, L
F, H
F, A
C, Y
R, V
Y, Q
S, D
W, D
R, X
O, Z
X, S
G, M
Y, Q
X, H
L, X
U, I
E, B
U, J
I, B
Y, G
L, M
Y, P
E, M
D, T
F, Q
X, S
C, B
O, G
L, X
D, Q
Y, R
G, S
X, O
N, Y
M, L
V, U
U, O
A, Y
V, M
O, Y
J, R
K, Q
Y, C
N, Y
C, L
T, Q
E, B
J, E
S, X
Q, J
C, Q
T, D
F, S
P, M
B, O
I, N
V, L
Z, A
B, U
B, D
U, R
L, R
W, D
P, Y
A, D
Q, M
X, B
S, D
E, B
H, U
L, E
P, V
C, M
U, F
U, L
V, Z
R, I
Z, O
D, V
U, T
P, I
D, D
K, S
O, L
Y, B
C, W
P, U
A, M
A, E
C, Q
X, K
U, U
S, F
Q, N
K, Y
P, A
E, M
Y, Q
U, J
A, G
D, N
C, J
T, O
F, U
R, H
F, U
R, Z
M, E
R, B
Q, H
L, I
U, T
B, T
Y, E
U, M
D, X
S, P
I, F
R, I
U, I
C, T
W, J
F, M
M, X
D, Y
L, K
D, S
Q, Z
F, D
R, B
D, W
L, E
I, X
P, U
Q, P
E, Z
W, C
W, M
Z, P
V, H
S, T
G, I
P, X
P, D
O, A
Z, B
M, T
A, N
M, U
V, L
G, O
A, T
Y, D
H, Q
C, M
H, S
W, T
A, L
U, W
K, U
J, M
Q, W
B, X
I, A
L, H
Y, O
U, U
C, W
T, B
Y, R
X, C
J, Q
J, E
O, B
S, F
Z, G
C, M
Y, P
Y, F
T, F
J, G
R, H
B, I
M, N
D, S
R, N
H, Q
U, Y
V, Y
B, X
L, C
X, H
Y, C
H, S
M, W
N, Q
H, Z
O, D
J, L
Q, H
B, W
G, Y
Q, K
I, Q
I, P
S, V
L, H
D, U
E, G
M, Z
U, B
J, L
E, Y
S, H
Z, V
S, R
D, G
B, I
D, G
E, O
A, I
I, J
O, E
H, X
K, M
D, L
I, A
T, Z
I, S
M, H
Y, Z
O, D
O, X
L, R
T, X
D, O
I, K
V, L
C, B
Q, P
F, Y
H, A
N, L
R, C
N, F
I, P
Y, X
J, D
W, J
J, H
J, Z
W, C
S, L
Z, U
H, U
Z, L
X, D
P, C
F, M
W, Z
B, Y
T, C
K, X
K, O
S, T
D, E
J, O
B, V
V, H
O, M
A, A
G, Y
V, M
Q, X
K, M
R, G
D, H
Z, B
T, P
O, W
Q, M
S, D
N, O
V, E
B, I
W, D
E, H
K, X
J, H
N, Y
N, T
E, C
T, O
W, V
R, H
R, R
C, P
V, A
N, J
M, I
X, C
E, F
E, X
P, V
N, N
O, T
C, L
B, V
Y, M
I, J
V, X
P, T
I, S
A, V
F, W
D, F
D, D
C, R
U, C
U, T
B, C
U, N
B, D
G, B
R, T
U, X
F, X
E, J
C, V
Y, Y
J, E
N, S
G, O
C, P
A, F
E, H
X, N
Z, C
F, N
S, J
P, L
Y, E
J, J
F, F
C, Z
D, C
D, T
S, O
B, I
D, H
P, I
Z, L
O, H
W, E
B, V
M, R
E, Z
M, C
L, R
C, D
K, P
C, Y
Z, B
Z, I
P, Z
D, V
S, H
S, P
H, U
Q, K
M, P
K, M
H, T
C, G
M, Q
D, C
B, B
R, Z
J, R
D, Q
C, B
T, T
U, F
R, M
G, I
W, O
Y, A
L, X
J, I
J, L
A, O
W, H
S, M
D, S
M, C
R, R
R, O
M, W
N, K
M, Z
Q, J
Z, I
A, B
V, J
T, A
X, I
C, I
J, J
R, G
Q, P
X, B
H, I
A, I
L, W
O, X
G, S
P, Z
J, K
O, V
C, R
I, N
T, I
P, J
L, M
W, U
V, N
H, B
Z, K
F, T
C, V
C, I
B, U
M, F
U, Q
H, U
L, O
F, K
Q, L
T, E
A, S
W, O
F, Z
T, M
Y, N
P, T
L, O
Q, N
J, D
D, R
H, L
I, V
B, F
K, V
Q, G
P, K
C, E
G, V
M, O
L, Q
A, E
D, G
U, R
E, W
Z, M
A, W
C, P
W, X
K, J
R, C
Y, S
D, C
T, Y
N, V
Y, Y
G, W
G, D
U, I
P, K
T, G
K, D
E, Z
L, G
P, M
J, Y
I, L
R, Z
W, Y
J, S
V, A
Z, P
V, R
Y, R
U, G
O, I
Y, J
V, D
W, W
K, X
K, Z
G, C
V, G
F, X
X, Q
W, T
K, A
W, V
Y, M
K, V
S, W
V, V
S, N
J, P
V, T
L, A
B, Q
Q, U
D, K
Q, I
C, E
N, Z
V, T
W, R
U, I
M, T
G, R
V, U
F, K
E, W
Y, W
F, Y
Y, Q
Q, X
Z, F
S, E
K, L
G, C
J, Y
D, S
L, X
L, R
D, S
E, W
U, H
M, D
W, P
Z, H
R, K
K, D
H, G
Q, X
J, R
L, A
D, I
S, R
S, S
T, G
C, B
I, G
X, Z
Y, Z
P, T
B, G
Q, H
K, J
Z, O
P, G
N, Y
W, D
I, N
D, D
B, D
W, V
T, Y
H, W
P, T
G, I
X, I
Z, T
D, W
R, U
B, D
F, A
G, S
L, Z
Y, B
J, S
M, M
V, W
D, C
