field1,field2,field3
b,f,i
b,d,g
b,e,h
c,e,i
c,f,i
b,e,h
a,d,g
a,d,g
b,e,h
c,d,g
b,e,h
a,d,g
b,f,i
a,d,g
c,f,i
c,d,g
b,e,h
c,f,i
a,f,i
c,d,g
b,f,i
c,e,h
c,e,h
b,d,g
c,d,g
a,d,g
b,e,g
c,d,g
b,d,g
a,f,i
c,e,h
c,d,g
b,f,i
c,d,g
b,e,h
b,d,g
a,f,i
b,f,i
a,f,i
c,d,g
b,f,i
b,e,h
a,f,i
b,e,h
b,f,i
a,f,h
b,e,h
c,f,i
c,e,h
c,f,i
a,f,i
a,d,g
b,f,i
a,f,i
a,f,g
c,e,h
c,f,i
a,d,g
c,d,g
a,e,h
a,f,i
b,f,i
a,e,h
a,e,h
c,e,h
c,f,h
c,e,h
a,f,i
c,e,h
b,f,i
a,e,h
a,e,h
b,f,g
a,d,g
c,e,h
b,d,g
a,d,g
b,d,g
c,d,g
a,e,g
b,d,g
c,e,h
b,d,g
c,e,h
c,e,h
c,d,g
a,e,h
a,e,h
c,d,g
a,f,i
c,e,h
b,e,h
c,f,i
c,e,g
a,e,h
c,e,h
b,d,g
b,e,h
c,f,i
b,f,g
c,e,g
b,f,i
a,d,g
a,d,g
b,e,i
c,f,i
a,e,h
a,f,i
a,e,h
c,f,i
a,d,g
c,d,g
b,d,g
b,d,g
b,e,h
c,d,g
c,f,i
b,e,h
b,f,i
b,f,i
a,d,g
a,e,h
b,e,h
c,f,i
a,e,h
a,f,g
a,d,g
a,e,h
b,e,h
b,d,g
a,d,g
b,f,i
a,d,g
c,e,h
b,d,g
a,d,g
b,e,h
a,f,i
c,d,g
c,f,i
c,d,h
c,e,h
b,f,i
c,e,h
b,d,h
b,f,g
c,d,g
b,d,g
c,f,i
b,d,g
b,d,g
c,e,h
c,e,g
b,d,g
c,e,h
b,e,h
c,f,i
a,d,g
b,e,h
a,e,h
b,e,h
b,f,i
a,d,g
a,d,g
b,e,h
c,f,i
a,e,h
c,d,g
a,f,i
a,d,g
b,f,i
c,f,i
c,f,i
b,e,h
b,f,i
a,f,i
c,e,h
b,e,h
b,e,h
b,d,h
c,f,i
a,f,i
a,d,g
c,e,h
b,f,g
c,f,i
c,e,h
b,f,i
a,e,h
b,d,g
a,d,g
b,f,i
c,f,h
b,f,i
a,d,g
a,f,i
a,f,h
b,f,i
b,f,i
a,e,h
b,d,g
b,d,g
b,e,h
c,f,i
b,f,i
c,f,i
c,e,h
b,e,h
a,d,g
b,f,i
a,d,g
b,f,h
a,e,h
c,f,i
a,f,i
c,f,i
c,e,h
c,d,g
b,f,i
b,f,i
c,e,i
a,d,g
c,f,i
a,e,h
a,e,h
c,e,h
b,d,g
a,f,i
c,e,h
c,e,h
c,e,h
a,d,g
c,f,i
b,d,g
a,d,g
b,f,i
a,e,h
b,e,g
b,e,g
a,d,g
a,f,h
c,d,g
a,e,h
b,d,h
c,f,i
c,e,i
a,d,h
c,d,g
a,f,i
c,f,i
c,e,h
b,d,g
c,e,h
b,e,h
a,d,h
a,d,g
c,d,g
b,d,g
b,d,g
b,e,h
a,e,h
b,f,i
a,d,g
c,d,g
c,e,h
c,e,h
a,f,i
b,d,g
a,e,h
c,e,h
a,f,i
c,f,i
a,e,h
b,d,g
c,f,i
b,e,h
b,f,i
a,d,g
a,e,h
c,d,g
c,d,g
a,d,g
a,d,g
b,f,h
a,e,h
b,d,g
a,d,g
c,f,i
c,d,g
c,d,g
b,f,i
c,f,i
a,e,h
c,e,h
a,e,h
c,e,g
a,e,h
b,f,i
b,d,g
c,f,i
b,d,g
c,f,i
b,e,h
c,d,g
b,d,g
a,f,i
b,e,h
b,d,g
a,e,h
a,e,h
a,f,i
b,e,h
a,e,g
b,e,h
c,e,h
a,d,i
a,d,g
c,d,g
a,e,h
c,e,h
b,f,i
c,d,g
c,f,i
a,f,i
a,d,g
c,e,h
a,d,g
a,e,h
b,d,g
c,f,i
c,e,h
a,e,h
a,f,i
c,d,h
b,f,i
c,d,g
c,d,g
a,d,g
a,e,h
b,e,h
b,e,h
c,e,g
b,f,i
a,f,i
c,e,h
c,e,g
a,d,g
a,f,i
c,d,g
b,e,h
a,f,i
a,e,h
a,f,i
a,e,h
b,f,i
c,e,h
b,f,i
b,d,g
b,f,i
c,e,g
a,e,h
c,f,i
b,e,h
b,e,h
c,d,g
b,f,i
b,f,i
c,f,i
c,d,g
a,e,g
c,f,i
b,f,i
c,e,h
a,f,i
b,e,h
a,d,g
c,d,h
c,f,i
c,d,g
c,f,g
b,e,h
a,e,g
c,d,g
a,f,i
b,d,g
c,f,i
a,d,g
b,f,g
b,f,i
b,d,g
c,f,i
c,e,h
c,e,h
c,f,i
a,f,i
b,e,h
c,d,g
a,f,i
b,d,g
a,d,g
b,f,i
b,f,i
b,d,g
c,f,i
c,e,h
a,f,i
b,e,h
b,e,h
b,f,g
c,f,i
b,e,h
a,e,h
b,d,g
b,f,i
a,f,i
b,e,h
a,d,g
c,d,g
b,d,h
a,d,g
a,d,g
b,d,g
b,d,g
b,f,i
c,f,i
a,e,h
a,d,g
b,d,g
c,f,i
c,d,g
c,e,h
a,f,i
c,f,i
b,d,g
b,e,h
c,f,i
a,e,h
b,d,g
b,e,h
b,d,g
b,f,i
c,e,h
c,e,h
a,d,g
c,f,i
c,d,i
b,e,h
a,e,h
b,e,h
a,e,h
b,f,i
b,f,i
c,f,i
c,d,g
c,d,g
b,d,g
c,e,h
a,f,g
b,d,g
b,f,i
b,f,h
c,e,h
b,d,g
b,f,i
c,f,i
b,e,h
a,e,h
b,d,g
c,e,h
a,d,g
c,e,h
b,f,i
c,e,h
b,f,i
c,f,i
a,e,h
a,e,i
b,e,h
c,e,h
b,e,h
b,e,g
c,f,i
b,d,g
c,e,h
c,e,i
b,f,i
c,d,g
a,e,h
a,e,h
b,d,g
a,e,h
b,d,g
b,f,i
c,d,g
b,d,g
b,f,i
a,d,g
c,d,g
a,e,h
b,d,g
b,e,g
c,d,g
a,f,i
c,f,i
a,d,g
b,f,i
c,e,h
c,e,g
c,f,i
c,d,h
a,f,i
b,e,h
b,d,g
a,f,i
c,d,g
b,f,i
a,d,g
b,f,i
c,f,i
a,f,i
b,e,h
a,d,g
a,f,i
a,d,g
b,d,g
c,f,h
c,e,h
a,e,i
c,e,h
b,f,i
a,e,h
a,f,i
c,f,i
b,f,i
a,d,g
c,e,h
a,f,i
c,e,h
b,f,i
a,e,h
c,f,i
a,f,i
b,d,g
c,f,i
a,d,g
a,f,i
a,e,h
b,f,i
c,d,g
c,e,g
b,d,g
a,d,g
b,e,i
a,e,h
a,d,g
c,e,h
c,f,i
c,f,i
a,e,h
b,e,h
a,f,i
c,e,h
a,d,g
b,f,g
c,e,h
a,f,h
b,e,h
a,e,h
b,d,g
a,f,i
c,f,i
b,f,i
a,f,i
b,e,h
b,d,g
a,f,i
c,f,i
b,e,h
b,f,i
c,f,i
c,e,h
b,f,i
b,f,i
b,e,h
a,e,h
a,f,i
b,d,g
c,d,g
b,d,g
a,f,i
c,e,h
c,d,g
a,e,h
b,d,g
a,f,h
c,e,h
c,f,i
c,e,h
c,f,h
c,f,i
b,f,i
b,f,h
b,f,i
c,e,h
a,d,g
a,e,i
a,f,h
a,f,i
b,e,h
c,f,i
b,f,h
c,e,h
a,f,i
c,e,h
a,d,g
a,d,g
b,d,g
a,d,g
c,d,i
b,e,h
b,e,h
c,d,g
a,e,i
a,f,i
a,e,h
c,f,i
c,d,g
a,f,i
c,d,g
b,e,h
c,e,h
a,d,i
c,f,i
a,f,i
a,d,g
c,d,g
c,d,g
b,d,g
c,d,g
a,e,h
b,e,h
b,f,i
b,d,g
a,f,i
c,e,h
b,f,i
a,e,h
c,d,g
c,f,i
b,e,h
b,d,g
a,f,i
c,e,h
a,f,i
a,e,h
b,e,h
c,f,i
c,d,g
a,e,h
b,f,i
c,d,i
c,d,i
c,d,g
c,d,g
a,d,g
c,f,i
b,f,i
b,d,g
c,f,i
c,d,i
c,e,g
c,d,g
b,d,g
b,d,g
b,d,g
b,f,i
a,e,h
c,f,i
a,f,i
b,e,g
c,d,g
c,d,g
b,f,i
b,e,h
b,d,g
c,f,i
c,e,h
a,d,g
b,e,h
b,f,i
b,e,h
b,d,g
a,e,h
b,f,i
b,f,i
a,e,h
a,d,g
c,e,i
a,f,i
a,f,i
c,f,i
b,f,i
c,e,h
b,e,h
b,d,g
b,f,i
a,e,h
b,f,i
b,f,i
a,f,i
b,f,i
c,e,h
c,e,h
a,f,i
c,e,h
c,e,h
a,e,h
a,e,h
a,f,i
b,d,g
b,e,h
a,d,g
b,e,h
c,d,g
a,f,i
c,d,i
b,d,g
c,f,i
b,e,h
a,e,h
c,d,g
b,e,i
c,d,g
c,e,h
c,e,h
c,d,g
a,d,g
c,f,h
a,e,h
c,d,g
a,e,h
c,f,i
a,d,g
a,f,i
b,d,g
c,f,i
b,d,g
a,d,g
c,e,h
c,d,g
b,d,g
c,f,i
b,f,i
b,e,h
c,f,g
b,e,h
c,e,h
b,d,g
a,d,h
a,d,g
a,e,h
c,d,g
a,d,g
a,e,h
c,d,g
b,e,h
b,f,i
a,f,h
a,d,g
c,e,h
b,e,h
b,e,h
a,d,g
c,d,i
a,d,g
a,f,i
c,d,i
c,d,g
a,e,h
b,d,g
c,e,h
a,f,i
b,e,h
a,d,g
c,d,g
a,f,i
c,d,g
b,d,g
b,e,h
a,d,h
c,e,g
c,f,g
a,e,i
b,e,h
c,e,h
c,e,g
a,d,g
b,f,i
c,f,i
b,d,g
b,f,h
a,f,i
a,d,g
c,d,g
b,e,h
b,e,h
b,e,h
c,d,g
c,d,g
a,d,g
a,d,g
b,f,i
a,f,i
c,e,h
a,e,h
a,f,i
b,f,i
a,f,i
c,d,g
c,e,h
c,e,h
a,f,i
b,e,h
c,e,i
b,f,i
a,d,g
b,e,h
b,e,h
a,f,i
c,e,h
b,e,h
a,d,g
c,f,i
b,d,g
a,d,g
a,d,g
b,e,h
b,d,g
a,d,h
a,d,g
a,f,i
b,f,i
a,e,h
b,e,h
a,e,h
c,d,g
b,d,g
c,d,g
c,d,g
c,f,i
c,e,h
b,f,i
a,e,h
c,e,h
a,f,i
b,d,g
c,e,h
c,d,g
c,d,g
b,d,g
b,f,h
a,e,h
a,e,h
c,e,h
c,e,h
b,d,i
b,d,g
a,e,h
b,f,i
c,f,i
b,e,h
a,d,g
b,d,i
a,f,i
c,d,i
b,f,i
c,f,i
a,d,g
b,e,h
c,d,g
b,e,h
a,f,i
a,e,h
b,f,i
a,e,h
a,f,i
b,e,h
b,f,i
c,d,g
a,f,i
c,f,i
b,e,h
b,e,h
a,d,h
b,f,h
c,d,g
a,e,h
a,f,i
c,e,h
c,e,h
c,f,i
c,f,i
c,e,h
a,e,h
a,f,i
c,d,g
a,d,g
b,e,h
c,e,h
a,e,h
c,f,i
c,f,h
b,d,g
b,d,g
c,f,i
b,d,g
b,e,h
b,d,g
a,d,g
a,f,i
c,e,h
c,d,g
b,e,h
c,e,h
b,d,g
b,e,h
a,e,h
b,e,h
c,e,h
b,d,g
a,d,h
a,f,i
a,f,i
b,d,h
a,d,h
b,e,h
a,f,i
c,e,h
c,d,h
b,f,i
a,e,i
a,d,g
a,f,h
c,d,i
c,f,i
a,e,i
a,d,g
a,e,h
c,f,i
b,e,h
a,e,h
a,f,i
c,e,g
a,e,h
b,e,h
b,f,i
c,f,i
a,f,i
c,f,i
c,d,g
a,f,i
c,e,h
a,d,h
b,d,g
a,f,i
b,d,g
c,d,g
b,f,i
a,e,h
b,e,h
a,f,i
c,e,h
b,d,g
b,e,h
a,d,g
b,d,g
b,e,h
c,d,g
a,d,g
b,d,g
a,e,h
c,f,i
c,e,h
c,f,i
a,d,g
b,d,g
c,d,g
a,e,h
b,f,i
b,f,i
c,d,g
b,d,g
b,f,i
a,f,i
c,d,g
a,f,i
b,d,g
b,e,h
b,e,h
a,f,i
a,d,g
b,f,i
c,f,i
c,e,g
a,d,g
b,e,h
c,f,i
b,e,h
b,d,g
c,e,h
b,f,i
b,f,i
a,e,h
c,e,h
c,f,i
b,d,g
a,e,h
b,e,h
c,e,h
b,d,g
c,f,i
b,f,i
b,d,g
a,e,h
a,f,i
c,f,i
c,e,g
a,e,h
b,d,g
a,d,g
b,e,g
c,d,g
c,d,g
c,d,g
c,e,g
c,d,g
a,d,g
c,d,g
a,f,i
c,f,i
a,f,i
a,e,h
c,d,g
b,d,g
c,e,h
a,d,g
b,d,g
c,e,h
b,f,g
a,e,h
b,e,h
b,d,g
b,d,g
c,d,g
c,d,g
b,d,g
b,e,h
b,e,h
b,f,h
c,f,g
a,e,h
c,e,h
b,d,g
a,e,h
b,f,i
c,f,i
b,e,h
b,e,h
c,e,h
b,f,h
b,d,g
c,e,h
a,d,g
a,e,h
c,d,g
c,f,i
b,f,i
c,f,i
a,e,h
b,f,i
b,e,h
c,d,g
a,e,h
a,f,i
a,e,i
a,e,h
b,f,g
a,f,i
b,f,g
a,e,h
c,e,h
c,e,h
a,f,i
b,f,i
b,d,g
c,e,h
b,e,h
c,e,g
a,d,g
a,f,i
c,f,i
a,f,i
b,d,g
a,e,h
b,f,i
c,e,h
b,d,g
c,e,h
c,f,h
b,f,i
a,f,i
b,d,g
c,e,h
a,f,i
b,d,g
b,e,i
b,d,g
c,d,g
c,f,i
c,f,h
c,f,i
b,d,g
c,e,h
b,f,i
c,e,h
a,f,i
c,f,i
c,e,h
a,e,h
c,d,g
b,f,i
a,f,i
b,d,g
b,d,g
a,e,h
a,f,i
b,d,g
b,d,g
b,f,h
b,d,g
a,f,i
a,d,h
c,d,g
c,e,h
c,f,i
a,e,h
a,f,i
a,e,h
c,d,g
c,d,g
c,d,g
b,e,h
c,d,g
c,e,h
b,e,h
a,e,h
a,e,h
a,d,g
a,d,g
c,e,h
b,e,h
c,f,i
c,f,i
a,e,h
a,e,h
a,d,g
b,d,g
a,f,i
b,f,i
c,e,h
a,f,i
c,d,g
b,f,i
b,d,g
c,e,i
b,e,h
b,f,i
c,f,i
b,e,h
b,e,h
c,f,g
a,f,i
c,d,g
a,d,g
a,e,h
b,e,h
c,d,g
c,d,g
b,d,g
a,f,i
b,e,h
b,d,g
c,f,i
b,e,h
a,f,i
a,e,h
c,d,g
b,f,i
c,f,i
a,f,i
a,f,i
b,d,g
c,d,g
b,f,i
b,e,h
a,d,g
a,f,i
a,e,h
b,f,i
b,f,h
a,f,h
a,f,i
c,e,h
b,e,h
b,e,h
c,e,h
a,e,h
c,f,i
c,f,i
a,e,h
a,d,g
b,d,g
c,d,g
c,e,g
b,f,i
b,d,g
b,e,h
c,d,g
b,d,g
c,f,i
b,e,h
b,f,i
c,d,g
a,e,h
b,e,h
c,e,h
a,f,i
b,e,h
a,f,i
b,d,g
a,f,i
c,e,h
c,e,i
c,f,i
c,d,g
c,e,h
c,e,h
b,d,g
c,d,g
b,d,g
a,e,h
c,d,g
b,f,i
a,d,g
b,e,h
b,f,i
c,e,h
a,d,i
a,e,h
b,e,h
a,e,h
a,e,i
a,e,h
b,e,h
b,f,i
a,e,h
b,d,g
c,d,g
b,f,i
c,f,i
c,d,g
b,f,i
a,d,h
a,e,h
a,f,i
c,f,i
b,e,i
a,f,i
a,d,g
a,d,g
b,d,g
b,e,h
a,d,g
b,f,i
a,d,g
a,d,g
c,f,i
b,f,i
a,f,i
a,e,h
b,f,i
a,f,h
a,f,i
b,d,g
a,e,h
b,f,i
c,d,g
c,e,h
a,f,i
b,f,i
a,d,g
a,f,i
b,d,g
c,e,h
a,e,h
c,e,h
c,d,g
a,d,g
c,f,i
b,e,h
b,d,g
c,e,h
c,f,i
a,d,h
b,e,h
b,f,i
c,e,h
a,d,g
c,f,i
a,d,g
a,d,g
c,d,h
b,d,g
a,f,i
b,d,g
a,e,h
a,e,h
a,d,g
c,f,h
a,e,h
a,d,g
a,d,g
a,d,g
a,f,i
c,f,i
c,f,i
c,f,i
c,e,h
c,f,i
b,e,h
a,e,h
a,e,h
b,f,i
c,d,g
b,d,g
b,d,g
c,d,g
b,d,g
c,f,i
a,f,i
b,f,i
a,f,i
c,d,g
c,d,g
a,d,g
c,f,i
b,e,h
b,d,g
a,f,i
c,f,i
a,f,i
b,d,g
b,e,h
b,e,h
c,f,i
a,e,h
b,f,i
c,d,g
b,e,h
a,d,g
a,d,g
c,d,g
c,e,h
b,f,h
a,d,g
c,e,h
b,f,i
b,d,g
a,f,i
b,e,h
c,d,g
b,e,g
c,e,h
a,f,g
b,e,h
b,f,g
b,f,i
a,f,i
b,f,i
c,f,h
c,d,g
a,f,i
b,f,i
b,d,g
c,e,g
a,d,g
a,d,g
b,e,h
c,d,g
b,e,h
a,e,g
b,f,i
b,e,h
a,f,i
b,d,g
a,f,g
a,f,i
b,f,i
a,e,g
c,f,i
b,e,h
c,f,i
b,f,i
b,d,g
c,d,g
a,f,i
a,f,i
a,d,g
c,e,h
a,d,g
c,d,g
b,d,g
a,d,g
b,d,g
a,e,h
b,d,g
a,d,g
a,d,g
c,e,h
a,d,g
a,f,i
a,e,h
a,f,i
b,d,g
b,d,g
c,d,g
c,d,h
b,d,g
c,d,g
c,e,h
b,e,h
c,e,h
b,d,g
a,f,i
c,d,h
c,f,i
b,f,i
a,d,h
a,d,g
b,e,h
c,f,h
b,e,h
c,d,g
a,f,i
b,d,g
b,d,g
c,d,i
c,d,g
c,e,h
b,d,g
c,d,g
a,e,h
c,e,h
b,d,g
b,f,i
b,f,i
a,d,g
b,d,g
b,e,h
a,e,i
b,e,h
c,f,i
b,f,i
a,f,i
b,e,h
a,d,g
c,f,i
c,e,h
a,d,g
c,f,i
a,d,g
a,d,g
a,d,g
b,e,h
a,e,i
b,e,h
a,e,h
a,f,i
c,f,i
c,d,g
b,e,g
b,d,g
b,d,g
c,d,g
c,e,h
c,f,i
b,f,i
c,d,g
b,e,h
b,f,h
c,f,i
c,d,g
b,d,g
a,e,h
b,d,g
a,e,h
a,f,i
c,d,g
c,d,g
b,f,i
b,d,g
c,d,g
c,e,h
a,e,h
b,d,g
b,e,h
b,f,i
a,e,h
a,e,h
b,f,i
b,f,i
c,d,g
b,e,h
a,e,h
c,d,g
c,d,g
a,e,h
c,f,i
b,e,h
b,f,i
a,d,g
a,d,g
c,d,g
a,e,h
a,f,i
c,d,g
a,d,g
b,d,g
c,d,g
b,f,i
b,e,g
a,f,i
a,d,g
c,f,i
a,e,g
b,e,h
c,f,i
b,d,g
c,d,g
b,e,h
c,f,i
b,f,i
b,f,i
a,d,g
c,e,h
a,f,i
c,e,h
c,f,i
b,e,h
c,e,h
b,e,h
a,e,h
b,d,g
b,d,g
b,d,g
a,d,g
b,f,i
b,e,h
a,d,g
a,f,i
a,e,h
a,f,i
a,e,h
a,f,i
a,f,i
a,f,i
a,e,h
a,d,g
b,e,h
a,d,g
b,f,i
c,f,i
b,d,i
c,f,i
a,f,i
b,d,g
a,e,h
c,d,g
a,d,g
b,d,g
c,e,h
b,f,i
a,e,h
b,d,g
a,f,h
c,e,h
a,d,g
a,e,h
b,f,i
c,e,h
a,e,h
c,f,i
b,e,h
a,f,i
c,d,g
b,e,h
b,f,i
a,f,i
b,d,g
c,f,i
c,e,h
b,d,g
a,d,g
a,f,i
c,e,h
a,f,i
b,f,h
a,e,h
b,e,h
b,e,h
a,f,i
b,e,h
b,d,g
b,d,g
b,e,h
c,e,h
a,d,g
c,d,g
a,d,i
c,f,i
c,f,i
b,d,i
c,e,h
b,d,g
c,e,h
a,f,i
b,d,g
a,e,g
b,e,h
a,f,i
b,e,i
c,e,h
a,f,i
c,f,h
c,e,h
a,d,g
a,d,g
c,d,g
a,f,g
c,e,h
a,d,g
a,e,h
c,e,h
b,e,h
b,f,i
c,d,g
b,f,i
b,e,g
b,e,h
c,f,i
b,f,i
b,d,g
a,f,i
c,f,i
c,e,h
b,f,i
b,f,i
a,e,h
c,f,i
c,d,g
c,e,h
a,e,h
a,d,g
a,d,g
b,d,g
a,e,h
c,e,h
b,e,i
b,e,h
a,d,g
c,e,h
b,f,i
b,f,i
c,e,h
c,f,i
b,d,g
c,d,g
a,e,h
a,e,h
a,d,g
b,e,i
c,f,g
b,d,g
b,f,g
a,e,h
c,e,h
a,e,h
c,e,h
b,e,h
c,d,g
c,e,h
c,f,i
b,f,i
c,f,i
a,f,i
c,d,g
b,e,h
a,d,g
b,f,i
a,d,g
b,e,i
a,e,h
b,f,i
a,d,g
c,d,g
a,d,g
a,d,g
a,d,g
b,d,g
c,f,i
b,f,i
a,e,h
a,e,h
b,f,i
b,f,i
a,d,g
c,f,i
b,f,g
a,f,i
b,e,h
b,d,g
b,f,i
a,f,i
c,f,i
c,f,i
b,d,g
c,f,i
c,f,i
a,e,h
a,f,g
a,f,i
c,f,i
c,f,g
a,d,g
a,d,g
c,e,h
c,f,i
c,e,h
b,d,g
b,e,h
c,e,h
c,e,h
a,e,h
a,e,h
a,e,h
c,d,g
a,d,g
b,e,h
c,f,i
c,d,g
b,d,g
b,f,i
c,d,g
a,e,h
c,f,i
a,f,i
a,f,i
c,f,i
a,d,g
b,d,g
a,d,g
b,d,h
a,e,h
b,e,h
c,f,i
a,f,i
c,e,h
c,e,h
a,f,i
a,d,g
b,f,i
b,f,i
c,d,g
c,f,i
b,d,g
a,f,i
a,d,g
b,e,h
b,d,g
c,e,h
b,e,h
a,f,i
b,d,g
b,e,h
c,e,h
b,e,h
a,f,i
a,f,i
c,d,g
c,e,g
b,f,i
a,d,g
c,f,i
b,d,g
b,d,g
b,f,i
a,e,g
a,d,g
c,f,i
a,f,i
b,f,i
b,f,h
c,d,g
a,e,h
c,f,i
c,e,h
a,f,i
c,d,g
c,d,g
c,d,g
a,f,i
a,d,g
a,f,i
c,d,g
b,e,h
a,e,h
a,d,g
a,f,g
c,e,h
