gym,timestamp,attendeeCount,consumption
Melbourne Central,2010-09-27 22:00:00.0,0,46.93
Melbourne Central,2010-09-27 23:00:00.0,0,47.67
Melbourne Central,2010-10-04 00:00:00.0,0,8.5
Melbourne Central,2010-10-04 01:00:00.0,0,8.39
Melbourne Central,2010-10-04 02:00:00.0,0,8.29
Melbourne Central,2010-10-04 03:00:00.0,0,8.69
Melbourne Central,2010-10-04 04:00:00.0,0,9.35
Melbourne Central,2010-10-04 05:00:00.0,0,69.11
Melbourne Central,2010-10-04 06:00:00.0,72,70.67
Melbourne Central,2010-10-04 07:00:00.0,39,64.04
Melbourne Central,2010-10-04 08:00:00.0,24,62.89
Melbourne Central,2010-10-04 09:00:00.0,20,63.86
Melbourne Central,2010-10-04 10:00:00.0,22,62.56
Melbourne Central,2010-10-04 11:00:00.0,45,72.15
Melbourne Central,2010-10-04 12:00:00.0,131,78.67
Melbourne Central,2010-10-04 13:00:00.0,46,73.73
Melbourne Central,2010-10-04 14:00:00.0,34,65.69
Melbourne Central,2010-10-04 15:00:00.0,57,66.4
Melbourne Central,2010-10-04 16:00:00.0,119,80.23
Melbourne Central,2010-10-04 17:00:00.0,229,89.1
Melbourne Central,2010-10-04 18:00:00.0,231,88.41
Melbourne Central,2010-10-04 19:00:00.0,74,75.24
Melbourne Central,2010-10-04 20:00:00.0,25,50.32
Melbourne Central,2010-10-04 21:00:00.0,0,47.05
Melbourne Central,2010-10-04 22:00:00.0,0,49.75
Melbourne Central,2010-10-04 23:00:00.0,0,28.63
Melbourne Central,2010-10-11 00:00:00.0,0,8.75
Melbourne Central,2010-10-11 01:00:00.0,0,8.26
Melbourne Central,2010-10-11 02:00:00.0,0,8.3
Melbourne Central,2010-10-11 03:00:00.0,0,8.64
Melbourne Central,2010-10-11 04:00:00.0,0,9.69
Melbourne Central,2010-10-11 05:00:00.0,0,64.03
Melbourne Central,2010-10-11 06:00:00.0,78,72.52
Melbourne Central,2010-10-11 07:00:00.0,43,66.97
Melbourne Central,2010-10-11 08:00:00.0,29,62.64
Melbourne Central,2010-10-11 09:00:00.0,34,62.71
Melbourne Central,2010-10-11 10:00:00.0,25,62.64
Melbourne Central,2010-10-11 11:00:00.0,42,69.9
Melbourne Central,2010-10-11 12:00:00.0,128,79.83
Melbourne Central,2010-10-11 13:00:00.0,45,71.55
Melbourne Central,2010-10-11 14:00:00.0,42,68.73
Melbourne Central,2010-10-11 15:00:00.0,68,70.1
Melbourne Central,2010-10-11 16:00:00.0,127,80.78
Melbourne Central,2010-10-11 17:00:00.0,247,86.16
Melbourne Central,2010-10-11 18:00:00.0,245,91.32
Melbourne Central,2010-10-11 19:00:00.0,90,79.33
Melbourne Central,2010-10-11 20:00:00.0,24,49.98
Melbourne Central,2010-10-11 21:00:00.0,0,47.4
Melbourne Central,2010-10-11 22:00:00.0,0,49.93
Melbourne Central,2010-10-11 23:00:00.0,0,26.69
