field1,field2
10,20
24,11
38,40
0,-6
98,96
35,37
93,100
51,52
27,29
39,31
100,95
70,65
99,108
47,50
26,18
14,13
52,58
29,29
35,40
31,28
45,42
6,13
59,57
100,102
63,54
57,66
62,61
57,61
73,74
48,49
31,33
84,91
4,5
25,25
32,37
13,6
48,50
6,12
13,8
81,77
3,0
56,68
100,96
66,69
76,61
65,67
25,27
12,11
55,61
68,62
71,73
20,22
96,92
11,3
72,77
18,20
29,41
3,6
80,73
14,16
77,80
20,22
20,17
84,87
21,23
45,44
14,12
21,15
72,65
55,53
13,17
46,45
66,70
36,33
17,15
94,100
12,12
72,76
76,71
9,11
18,21
39,46
61,59
5,10
20,21
26,21
66,68
9,13
52,50
21,31
32,30
74,77
32,35
46,47
66,69
57,47
51,40
42,35
9,14
62,61
18,12
97,101
98,90
84,91
28,32
74,74
86,82
94,97
86,80
24,20
42,36
55,58
37,40
8,1
23,18
54,56
71,67
27,27
72,75
83,86
74,70
67,73
44,44
49,53
57,51
21,18
3,7
73,80
80,80
65,62
26,25
22,22
47,51
47,51
16,18
67,67
19,15
61,57
29,23
34,28
52,48
95,92
90,90
97,104
63,64
31,31
49,53
11,7
77,77
69,75
2,2
42,40
58,55
55,64
42,37
84,87
80,84
92,92
67,61
9,9
33,37
39,41
5,5
44,38
55,54
7,11
2,7
6,9
30,33
68,64
54,45
33,32
76,74
61,62
40,40
45,42
13,7
59,68
4,11
29,27
7,7
26,27
38,34
88,94
67,76
88,85
15,18
15,12
3,1
22,15
73,74
64,58
45,45
83,86
78,66
8,8
13,17
42,44
2,5
16,11
6,6
81,84
88,93
43,45
82,82
2,-1
95,101
61,53
10,8
93,101
49,48
36,34
39,42
49,60
71,65
16,14
37,37
2,8
41,39
40,38
99,105
50,54
77,80
51,51
1,4
27,24
83,78
47,51
56,58
31,37
60,56
63,57
46,50
52,52
75,79
15,11
99,105
38,31
79,79
16,18
89,86
83,92
49,37
8,8
46,45
88,97
99,105
65,67
12,16
78,74
53,58
95,95
21,19
9,0
54,51
62,59
90,90
68,68
70,71
84,79
35,30
98,99
96,87
88,93
57,51
96,99
48,44
5,2
84,85
81,77
68,75
53,44
26,25
43,44
94,93
92,91
58,59
71,66
80,86
48,53
81,77
10,16
80,77
48,41
69,66
47,46
19,21
49,49
56,55
60,62
39,39
95,93
81,85
59,57
46,40
11,15
23,24
98,99
46,44
57,61
66,65
10,9
46,60
59,57
3,-5
89,76
0,0
79,77
87,84
55,49
60,57
24,24
59,64
86,86
68,73
94,92
62,72
4,0
91,88
53,40
86,82
36,49
93,97
99,95
97,106
59,58
79,82
89,85
36,36
5,8
45,46
96,89
81,81
0,5
45,45
25,25
22,24
89,92
56,47
64,67
17,17
44,50
100,98
39,38
2,-6
50,50
33,34
73,73
75,73
62,62
63,62
5,7
44,39
31,33
53,56
71,66
39,41
61,59
94,95
95,102
4,-1
18,14
7,13
61,59
51,42
98,93
12,16
55,59
67,67
71,68
99,108
75,75
20,15
30,31
10,9
68,69
95,95
3,2
57,62
5,3
62,55
22,24
98,95
49,46
22,22
88,93
2,13
47,44
35,39
22,23
82,87
85,92
51,55
40,44
18,19
17,17
35,31
4,-3
93,91
54,51
23,27
29,26
86,81
68,69
89,85
7,1
79,85
59,58
68,66
17,19
1,0
92,92
64,62
9,6
20,16
63,68
73,74
0,1
38,45
71,73
100,102
83,73
99,102
66,68
100,107
84,91
88,91
17,19
57,56
89,86
14,14
15,14
41,41
70,75
56,68
99,99
28,21
100,97
14,11
43,44
91,88
31,31
66,67
54,60
6,16
34,36
32,32
38,42
56,62
63,52
11,8
25,30
74,66
21,22
27,25
2,3
83,78
100,98
44,40
39,31
42,43
8,6
72,69
63,63
62,61
0,-2
65,64
19,20
89,95
99,96
42,42
92,97
8,5
78,78
45,43
25,31
85,89
75,72
65,65
100,94
92,94
82,81
10,14
2,1
96,98
30,26
67,70
57,57
28,29
5,16
26,30
38,38
46,44
76,76
9,9
87,82
65,68
100,104
45,44
43,43
48,53
95,96
60,63
73,71
5,4
100,100
88,93
54,52
65,65
22,23
20,26
57,61
1,-1
81,74
14,14
47,47
8,12
16,17
92,96
66,65
56,53
100,97
89,85
25,20
25,29
29,26
67,60
62,55
64,67
33,33
37,33
64,69
59,55
47,53
11,5
54,57
61,62
29,32
63,54
23,19
53,52
94,92
34,39
44,40
28,28
39,38
78,76
23,23
42,46
0,2
72,70
68,56
14,17
55,58
65,54
97,95
86,98
0,1
66,70
84,86
99,98
10,15
6,4
2,0
79,80
85,83
74,67
96,93
54,60
22,29
64,63
16,10
85,98
60,63
83,84
61,55
90,92
43,35
73,70
81,77
50,51
65,61
69,70
43,46
13,9
57,54
24,32
17,11
100,87
56,50
11,7
15,19
70,69
1,-6
35,41
86,84
18,12
60,55
60,66
77,71
90,87
39,37
47,47
9,14
54,57
11,9
24,24
58,63
76,74
49,53
4,16
2,-4
82,83
19,20
0,-7
20,19
89,84
74,72
78,82
81,80
20,16
14,14
72,69
48,50
61,65
70,69
58,60
21,17
64,68
55,55
29,31
3,3
58,58
20,21
53,55
94,89
58,58
100,95
14,12
58,58
52,57
69,68
25,25
53,56
58,49
13,20
6,9
59,59
58,58
74,72
46,45
78,84
27,20
46,42
31,27
76,75
92,94
20,22
75,73
52,51
49,53
60,65
30,30
2,7
66,59
15,15
25,26
82,80
75,74
30,25
81,87
10,18
20,18
62,57
67,80
6,7
61,63
76,75
82,83
7,16
59,67
39,39
62,64
26,31
73,77
99,99
40,47
16,14
82,80
95,95
11,13
22,20
68,69
36,33
14,16
52,50
49,44
43,46
59,55
10,9
74,66
60,65
86,87
66,66
75,75
68,64
87,78
54,51
16,4
43,43
89,85
82,79
80,83
27,27
56,59
48,48
78,81
13,15
23,18
6,-1
46,46
63,62
41,36
23,26
55,52
54,53
41,40
23,24
0,2
37,35
69,66
64,66
87,83
77,72
52,49
27,29
34,37
52,58
37,41
86,85
88,81
92,99
64,58
57,61
63,63
80,81
32,37
52,50
93,85
33,39
64,66
49,49
26,22
24,29
70,67
79,85
67,64
83,82
96,96
9,6
25,23
37,29
54,53
14,13
20,23
49,52
60,58
79,74
43,39
27,21
17,16
89,92
44,51
63,59
1,3
53,53
31,25
27,27
1,-5
35,33
43,53
33,40
21,12
43,36
7,7
85,85
75,74
78,82
48,52
4,-3
65,63
77,77
71,77
38,34
100,110
46,46
2,0
96,92
57,53
83,85
34,38
1,-4
27,25
45,33
54,59
96,88
84,89
6,3
40,35
62,63
4,7
6,6
73,72
27,27
100,105
63,63
73,72
95,94
77,75
24,23
31,30
93,101
37,40
87,87
47,47
7,15
34,27
89,81
55,62
10,12
33,38
26,22
9,5
83,73
48,52
53,60
78,81
21,21
28,33
41,41
89,90
74,76
97,87
55,51
24,26
13,9
3,-2
32,27
12,10
31,33
93,105
8,8
62,57
13,14
100,99
40,35
51,51
46,48
44,46
79,76
94,95
74,76
97,103
67,66
51,54
47,43
14,18
53,54
74,78
68,71
52,52
8,13
80,78
18,13
85,78
8,9
45,43
25,25
3,6
25,26
56,59
7,1
27,20
95,103
91,87
95,95
54,56
52,43
54,51
2,5
66,67
99,105
99,99
68,66
53,51
67,76
80,74
59,51
0,6
99,100
25,19
31,36
7,8
73,76
28,28
0,1
18,18
0,5
18,13
85,83
7,3
82,87
24,27
16,4
74,75
44,41
98,106
70,69
1,3
97,104
36,43
21,22
24,20
85,94
93,93
82,82
0,8
77,87
40,41
21,21
78,76
34,26
67,68
41,39
87,87
94,93
87,88
79,82
70,70
87,84
86,86
9,3
0,-4
15,23
56,54
85,85
27,31
36,35
68,61
39,40
83,83
31,25
91,87
64,66
79,79
51,55
85,81
28,30
81,81
91,88
20,19
64,61
46,50
20,11
41,39
15,22
6,10
26,26
73,78
24,22
20,17
11,15
86,88
97,97
32,31
0,-7
84,86
15,12
6,7
31,29
0,-3
95,91
61,58
66,69
75,68
57,70
51,53
5,-1
26,26
76,76
74,78
58,57
48,47
89,89
21,24
4,3
2,4
4,13
52,44
30,38
8,8
21,22
35,30
72,69
4,-2
2,2
41,39
9,9
18,14
93,95
72,77
96,98
28,28
51,49
46,50
76,85
19,23
52,49
35,37
39,32
83,83
33,28
25,22
33,40
50,45
94,96
0,6
56,62
25,34
67,67
90,89
91,88
77,72
81,86
99,101
77,68
9,12
93,93
18,17
96,96
94,91
96,98
58,59
97,97
66,61
30,33
88,85
39,40
10,1
70,69
32,24
48,55
76,76
90,97
14,14
53,46
17,17
73,69
83,95
64,62
41,42
18,18
2,2
36,38
40,40
20,22
41,47
91,92
66,66
37,46
7,5
21,28
95,91
3,8
97,95
47,47
41,41
97,90
97,94
12,6
18,11
85,86
42,48
76,76
33,27
51,45
79,73
33,33
70,69
60,53
57,54
25,24
76,77
28,32
